11.4,11.94,11.23,7.02,6.86,10.15,12.9,12.99,28.2,11
11.09,11.68,10.8,6.87,6.76,9.8,13.11,12.68,27.7,11.55
10.62,11.48,10.69,6.81,6.83,9.71,13,12.65,27.8,11.72
10.78,11.49,10.64,6.85,7.17,9.75,13.2,12.68,27.45,11.44
10.82,11.4,10.74,6.84,7.23,9.62,13.55,12.79,27.6,11.35
11.18,11.51,10.75,6.95,7.38,9.68,13.68,12.86,27.55,11.15
11.15,11.52,10.63,6.89,7.23,9.61,14.05,12.94,28.25,11.71
11.2,11.54,10.9,6.84,7.27,9.71,13.78,12.95,28,12.3
11.11,11.68,10.82,6.87,7.39,9.77,13.45,12.91,28.29,12.92
11.34,11.69,10.95,6.89,7.67,9.82,13.83,12.96,29.6,13.57
11.4,11.74,11.01,6.92,7.7,9.89,14.1,12.95,29.24,14.25
11.23,11.71,11.05,6.95,7.64,9.77,13.8,13.17,29.17,14.23
11.05,11.53,10.86,6.88,7.49,9.7,14.06,12.98,29.47,13.6
11.17,11.58,10.73,6.85,7.86,9.74,15.07,13.1,29.32,13.1
11.1,11.51,10.43,6.82,8.08,9.68,14.49,13.16,29.19,13.1
11.86,11.75,10.38,6.82,8.08,9.59,14.38,13.05,28.71,13.36
11.83,11.9,10.4,6.75,8.3,9.6,14.61,12.89,28.56,13.2
11.9,11.96,10.2,6.73,8.21,9.68,14.78,12.8,28.4,13.05
11.92,11.83,10.39,6.69,8.1,9.81,14.57,12.7,27.97,12.85
11.7,11.71,10.05,6.61,8.51,10,14.75,12.69,28.05,12.39
11.56,11.63,10.08,6.72,8.61,10,14.68,12.89,29.15,11.8
11.82,11.74,10.26,6.74,8.55,10.06,14.27,12.82,29.05,12
11.83,11.89,10.14,6.68,8.65,10,14.35,12.88,29.1,12
12,12.04,10.11,6.7,8.68,9.91,14.57,12.94,29.36,12
12.06,12.1,10.09,6.74,8.61,10.05,14.26,12.9,29.25,11.99
