日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,5.12,5.14,5.16,5.09,30336,15562882.0,1.38,0.98,0.05,0.42
2020-01-03,5.13,5.16,5.18,5.12,23763,12239061.0,1.17,0.39,0.02,0.33
2020-01-06,5.12,5.18,5.19,5.1,26618,13738391.0,1.74,0.39,0.02,0.37
2020-01-07,5.19,5.24,5.25,5.17,28449,14818391.0,1.54,1.16,0.06,0.4
2020-01-08,5.2,5.13,5.23,5.1,28072,14492960.0,2.48,-2.1,-0.11,0.39
2020-01-09,5.15,5.23,5.23,5.15,28280,14681888.0,1.56,1.95,0.1,0.4
2020-01-10,5.25,5.28,5.29,5.2,45226,23776723.0,1.72,0.96,0.05,0.63
2020-01-13,5.27,5.33,5.36,5.23,52727,28014501.0,2.46,0.95,0.05,0.74
2020-01-14,5.33,5.26,5.35,5.25,35363,18679479.0,1.88,-1.31,-0.07,0.49
2020-01-15,5.27,5.26,5.27,5.19,25657,13408476.0,1.52,0.0,0.0,0.36
2020-01-16,5.24,5.2,5.26,5.18,17931,9344314.0,1.52,-1.14,-0.06,0.25
2020-01-17,5.21,5.24,5.24,5.16,31095,16188603.0,1.54,0.77,0.04,0.43
2020-01-20,5.22,5.19,5.22,5.14,47705,24642512.0,1.53,-0.95,-0.05,0.67
2020-01-21,5.18,5.13,5.18,5.1,20639,10610279.0,1.54,-1.16,-0.06,0.29
2020-01-22,5.14,5.1,5.14,5.03,21561,10969408.0,2.14,-0.58,-0.03,0.3
2020-01-23,5.13,5.12,5.13,5.0,43881,22247883.0,2.55,0.39,0.02,0.61
2020-02-03,4.61,4.61,4.67,4.61,31564,14564049.0,1.17,-9.96,-0.51,0.44
2020-02-04,4.54,4.57,4.61,4.5,38351,17515035.0,2.39,-0.87,-0.04,0.54
2020-02-05,4.57,4.75,4.78,4.57,38344,17964495.0,4.6,3.94,0.18,0.54
2020-02-06,4.7,4.78,4.82,4.7,22985,10955832.0,2.53,0.63,0.03,0.32
