# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; PSCCOMR
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
PSCCOMR;MSONDQ
0.023744292251632;0.017693278966713
-0.01671980819984;0.003828182176433
-0.022019804177171;-0.005669891668878
-0.010947652910178;-0.009264844258932
0.012345542409928;0.009618709838267
-0.01193099280415;-0.010093211410556
-0.027442360369237;-0.004511786136512
0.017938590006564;0.002050811880233
0.011236183159468;-0.001359165520625
-0.016954757316828;0.020990662774145
-0.010729390079412;-0.002074939078824
0.003078516915425;0.010294271398815
-0.030834304832132;-0.001704988700429
-0.018548721513062;-0.003997072566569
0.001515319905265;0.015763103079434
-0.001060310632951;0.006988845191852
0.004779979161804;0.009345268254236
-0.009759268479641;0.005179305297529
0.017741253655895;0.005887036456197
-0.010853205392581;0.017033802205226
0.005572167662367;0.022116598708389
0.018156603522138;-0.009892151422298
0.040643587132435;0.013229747227384
-0.004838921062414;0.008404307509188
0.017192573656861;0.008943148277721
-0.005631963973943;0.009409607450479
0.01866829210889;0.029403012682863
0.049978916073722;0.020443779606085
-0.020959199518811;0.017862169356849
-0.017918402621781;0.001865836691034
-0.070347075414889;-0.019012232489686
-0.015914146189707;-0.053007455304365
-0.030838111690898;0.020282931615478
-0.024338359350401;0.015570085490706
-0.018285263338265;0.000812282352564
0.000828183307657;0.135956764060125
-0.021348216574185;-0.106875447358475
-0.017184649721214;0.035965610699609
0.018654471013427;0.017315286188788
0.033045228939042;0.044329706211144
0.027616523780785;0.007801127544413
0.014338382985849;-0.003498443795691
0.000485991618121;-0.054961758390233
0.008771002398063;-0.010599882580966
-0.019538228270426;-0.064580468228502
-0.026609611374695;0.014942778327343
-0.036162665640765;-0.002670076644068
-0.011792618414685;0.034759250770061
-0.007917265364927;0.004165962956706
-0.012843146294492;-0.010889408964058
-0.014991425944017;0.010101253810088
0.033037137438414;0.018594027714107
0.032464024812796;0.017065971803349
0.015391812375274;0.042841862298034
0.034666857746865;0.015377067901981
0.094361673322731;0.041345975985394
0.113136120995174;0.028542475933119
0.199320036730822;0.02332295863794
-0.006635246133184;0.044900716577798
0.166102087300923;0.01314932323208
-0.035435600195739;-0.041788307959563
0.024577770114516;0.038909128927708
-0.101511670430402;-0.140733949381137
-0.150523695053748;-0.056337008709919
-0.060124485495742;-0.029419097481926
0.028425389913979;0.015964163067694
-0.061849521696504;-0.02261522747927
-0.021622469972238;0.019591285255869
0.04550924536441;0.022969093058605
0.006852748300218;0.044619232594236
-0.070865305526173;-0.003763842980192
0.057925905670375;-0.000772070354911
0.000143121736198;0.038048592177962
-0.085338870054314;0.011026129756074
0.010623887140822;0.020588542797628
0.051484211843109;0.020049702029097
0.015474385461969;0.047932701200731
0.016914649235193;0.033938926017968
0.050148193746641;0.030335931028381
0.05511561564823;0.074167008468647
0.019962927948052;-0.066985145688067
-0.006426409029389;-0.0016969463009
-0.011214215167289;0.004865651715847
-0.006744679571994;0.002396635060036
-0.117785975720629;-0.095784978406157
0.053671100733029;0.015618339887891
0.00727195465226;-0.000522755969472
-0.089129568828821;0.0104229497913
-0.038828639665641;-0.013245832026443
-0.018844154902085;-0.026885741629872
-0.074816292072921;-0.063856652270772
-0.027069592790428;0.021223892360526
-0.033100238372706;-0.071657779815186
-0.031545440393432;-0.028043847162241
-0.044287655139723;0.006546513217685
0.016599517585934;-0.025349643319582
0.030226678015675;0.044024095028994
0.031872000944789;0.014355683161628
0.0139290043594;0.033231194859297
