# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; HSFR
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
HSFR;MSONDQ
-0.066704459561604;0.017693278966713
-0.013983371126225;0.003828182176433
-0.027399848828424;-0.005669891668878
-0.056689342403628;-0.009264844258932
-0.05007558578987;0.009618709838267
-0.031934996220709;-0.010093211410556
-0.015684051398339;-0.004511786136512
0.031368102796672;0.002050811880233
0.010393046107336;-0.001359165520625
0.056689342403628;0.020990662774145
0.016817838246406;-0.002074939078824
-0.015684051398333;0.010294271398815
0.062169312169309;-0.001704988700429
-0.022675736961451;-0.003997072566569
0.080876795162511;0.015763103079434
-0.091647770219201;0.006988845191852
0.129251700680272;0.009345268254236
0.01851851851852;0.005179305297529
-0.023431594860164;0.005887036456197
0.00907029478458;0.017033802205226
-0.089758125472415;0.022116598708389
0.022864701436134;-0.009892151422298
-0.017384731670448;0.013229747227384
-0.052343159486015;0.008404307509188
0.035336356764926;0.008943148277721
0.007369614512472;0.009409607450479
0.023620559334847;0.029403012682863
-0.080498866213152;0.020443779606085
-0.062547241118673;0.017862169356849
-0.105820105820102;0.001865836691034
-0.086356764928196;-0.019012232489686
0.0854119425548;-0.053007455304365
0.075018896447466;0.020282931615478
0.103741496598639;0.015570085490706
0.027399848828424;0.000812282352564
0.00547996976568;0.135956764060125
0.000188964474682;-0.106875447358475
0.037037037037035;0.035965610699609
0.03476946334089;0.017315286188788
0.054421768707483;0.044329706211144
-0.075585789871502;0.007801127544413
-0.075963718820862;-0.003498443795691
-0.055933484504915;-0.054961758390233
-0.043083900226757;-0.010599882580966
0.043461829176117;-0.064580468228502
0.096560846560845;0.014942778327343
0.126606198034773;-0.002670076644068
0.067838246409671;0.034759250770061
0.109977324263039;0.004165962956706
0.041761148904008;-0.010889408964058
0.061035525321242;0.010101253810088
0.115835222978078;0.018594027714107
-0.09334845049131;0.017065971803349
0.073885109599399;0.042841862298034
0.029667422524563;0.015377067901981
-0.025888133030992;0.041345975985394
-0.135676492819348;0.028542475933119
-0.069727891156463;0.02332295863794
-0.211829176114892;0.044900716577798
-0.031934996220709;0.01314932323208
-0.040060468631899;-0.041788307959563
-0.177248677248674;0.038909128927708
-0.101473922902494;-0.140733949381137
-0.026832955404386;-0.056337008709919
0.053665910808768;-0.029419097481926
0.101473922902494;0.015964163067694
0.051965230536661;-0.02261522747927
0.056878306878305;0.019591285255869
0.004346182917613;0.022969093058605
0.060846560846559;0.044619232594236
0.076152683295539;-0.003763842980192
0.086734693877551;-0.000772070354911
0.042139077853367;0.038048592177962
0.051209372637942;0.011026129756074
0.037603930461071;0.020588542797628
-0.139455782312925;0.020049702029097
0.161375661375663;0.047932701200731
-0.05366591080877;0.033938926017968
0.011526832955408;0.030335931028381
-0.212018140589569;0.074167008468647
0.102040816326531;-0.066985145688067
-0.031557067271355;-0.0016969463009
-0.126039304610731;0.004865651715847
-0.182350718065006;0.002396635060036
-0.106575963718821;-0.095784978406157
0.189342403628118;0.015618339887891
0.0640589569161;-0.000522755969472
-0.078609221466366;0.0104229497913
-0.10468631897203;-0.013245832026443
-0.123393801965232;-0.026885741629872
-0.051398337112623;-0.063856652270772
0.003779289493575;0.021223892360526
0.038548752834467;-0.071657779815186
0.096749811035527;-0.028043847162241
0.09297052154195;0.006546513217685
0.197089947089943;-0.025349643319582
0.017006802721088;0.044024095028994
0.080120937263798;0.014355683161628
-0.041005291005295;0.033231194859297
0.119425547996978;0.056111821523071
