# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; Sfygt1
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
Sfygt1;MSONDQ
0.066825775656325;0.017693278966713
0.052505966587111;0.003828182176433
-0.134844868735082;-0.005669891668878
0.003579952267303;-0.009264844258932
0.064439140811456;0.009618709838267
-0.058472553699284;-0.010093211410556
-0.009546539379475;-0.004511786136512
-0.058472553699284;0.002050811880233
0.039379474940334;-0.001359165520625
0.027446300715991;0.020990662774145
-0.025059665871122;-0.002074939078824
-0.056085918854416;0.010294271398815
-0.06563245823389;-0.001704988700429
0.015513126491647;-0.003997072566569
-0.05727923627685;0.015763103079434
-0.022673031026253;0.006988845191852
0.029832935560859;0.009345268254236
0.010739856801909;0.005179305297529
0.0;0.005887036456197
0.022673031026253;0.017033802205226
0.031026252983293;0.022116598708389
-0.040572792362769;-0.009892151422298
-0.00835322195704;0.013229747227384
-0.045346062052506;0.008404307509188
0.009546539379475;0.008943148277721
0.025059665871122;0.009409607450479
0.028639618138425;0.029403012682863
0.00835322195704;0.020443779606085
0.009546539379475;0.017862169356849
0.042959427207637;0.001865836691034
-0.08472553699284;-0.019012232489686
-0.050119331742244;-0.053007455304365
0.177804295942721;0.020282931615478
0.085918854415275;0.015570085490706
-0.005966587112172;0.000812282352564
-0.138424821002387;0.135956764060125
0.0;-0.106875447358475
-0.039379474940334;0.035965610699609
-0.022673031026253;0.017315286188788
0.007159904534606;0.044329706211144
0.0381861575179;0.007801127544413
0.090692124105012;-0.003498443795691
-0.029832935560859;-0.054961758390233
-0.072792362768497;-0.010599882580966
0.155131264916468;-0.064580468228502
-0.059665871121719;0.014942778327343
-0.113365155131265;-0.002670076644068
-0.029832935560859;0.034759250770061
0.190930787589499;0.004165962956706
-0.001193317422434;-0.010889408964058
-0.087112171837709;0.010101253810088
0.16945107398568;0.018594027714107
0.036992840095464;0.017065971803349
-0.050119331742242;0.042841862298034
-0.128878281622912;0.015377067901981
0.013126491646778;0.041345975985394
-0.070405727923628;0.028542475933119
-0.082338902147972;0.02332295863794
-0.096658711217184;0.044900716577798
-0.063245823389021;0.01314932323208
0.286396181384248;-0.041788307959563
0.101431980906921;0.038909128927708
-0.181384248210024;-0.140733949381137
0.087112171837709;-0.056337008709919
0.206443914081144;-0.029419097481926
0.020286396181386;0.015964163067694
-0.04892601431981;-0.02261522747927
0.00238663484487;0.019591285255869
0.022673031026252;0.022969093058605
-0.09307875894988;0.044619232594236
-0.110978520286396;-0.003763842980192
0.08472553699284;-0.000772070354911
0.022673031026253;0.038048592177962
-0.025059665871122;0.011026129756074
0.023866348448688;0.020588542797628
0.023866348448688;0.020049702029097
0.140811455847255;0.047932701200731
-0.063245823389023;0.033938926017968
0.040572792362771;0.030335931028381
-0.118138424821004;0.074167008468647
-0.127684964200478;-0.066985145688067
-0.028639618138425;-0.0016969463009
-0.01909307875895;0.004865651715847
0.054892601431981;0.002396635060036
0.031026252983294;-0.095784978406157
0.113365155131265;0.015618339887891
-0.270883054892602;-0.000522755969472
-0.177804295942721;0.0104229497913
0.175417661097852;-0.013245832026443
0.374701670644393;-0.026885741629872
0.189737470167065;-0.063856652270772
-0.099045346062054;0.021223892360526
-0.051312649164677;-0.071657779815186
0.410501193317421;-0.028043847162241
-0.465393794749404;0.006546513217685
-0.168257756563245;-0.025349643319582
0.010739856801909;0.044024095028994
0.133651551312651;0.014355683161628
-0.001193317422437;0.033231194859297
-0.05250596658711;0.056111821523071
