# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; LBLCPU
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
LBLCPU;MSONDQ
-0.000915001203949;0.017693278966713
0.001762581266554;0.003828182176433
0.00298579340236;-0.005669891668878
-0.000443053214544;-0.009264844258932
0.005432217673971;0.009618709838267
0.000876474837467;-0.010093211410556
0.004729111485673;-0.004511786136512
-0.000905369612328;0.002050811880233
-0.003881531423068;-0.001359165520625
-0.001550686250903;0.020990662774145
-0.000722369371539;-0.002074939078824
-0.00018300024079;0.010294271398815
0.002186371297857;-0.001704988700429
-0.001473633517939;-0.003997072566569
0.000654948230195;0.015763103079434
0.000963159162052;0.006988845191852
-0.001184685769323;0.009345268254236
-0.002629424512401;0.005179305297529
0.002918372261016;0.005887036456197
-0.002889477486155;0.017033802205226
0.001223212135805;0.022116598708389
0.001290633277149;-0.009892151422298
0.004709848302432;0.013229747227384
-0.002639056104021;0.008404307509188
0.000115579099446;0.008943148277721
-0.001964844690585;0.009409607450479
-0.0011268962196;0.029403012682863
0.00111726462798;0.020443779606085
0.005952323621478;0.017862169356849
0.003582952082832;0.001865836691034
0.001878160366;-0.019012232489686
0.001367686010113;-0.053007455304365
0.003660004815796;0.020282931615478
0.003033951360462;0.015570085490706
0.003149530459908;0.000812282352564
0.001541054659282;0.135956764060125
0.002167108114616;-0.106875447358475
0.005220322658319;0.035965610699609
0.006607271851673;0.017315286188788
0.001367686010113;0.044329706211144
0.007560799422105;0.007801127544413
0.005557428365037;-0.003498443795691
0.007791957620997;-0.054961758390233
0.005124006742114;-0.010599882580966
0.000394895256441;-0.064580468228502
0.000452684806164;0.014942778327343
0.006597640260053;-0.002670076644068
-0.003062846135324;0.034759250770061
0.00411268962196;0.004165962956706
0.001849265591139;-0.010889408964058
0.005663375872863;0.010101253810088
0.00354442571635;0.018594027714107
-0.002417529496749;0.017065971803349
0.002947267035878;0.042841862298034
0.004343847820852;0.015377067901981
0.001348422826872;0.041345975985394
0.005307006982904;0.028542475933119
0.010479171683121;0.02332295863794
0.010565856007705;0.044900716577798
0.009795328678064;0.01314932323208
0.011432699253552;-0.041788307959563
0.01607512641464;0.038909128927708
0.006684324584638;-0.140733949381137
0.008562484950638;-0.056337008709919
0.001820370816277;-0.029419097481926
0.003091740910185;0.015964163067694
0.008080905369612;-0.02261522747927
0.003294004334216;0.019591285255869
0.005152901516976;0.022969093058605
0.009516012521069;0.044619232594236
0.008495063809294;-0.003763842980192
0.005817481338791;-0.000772070354911
0.007204430532145;0.038048592177962
0.004652058752709;0.011026129756074
0.015959547315194;0.020588542797628
0.014524440163737;0.020049702029097
-0.001386949193354;0.047932701200731
0.009968697327233;0.033938926017968
0.009621960028895;0.030335931028381
0.020428605827113;0.074167008468647
0.013484228268721;-0.066985145688067
0.013676860101132;-0.0016969463009
0.015747652299543;0.004865651715847
0.015150493619071;0.002396635060036
0.023578136287021;-0.095784978406157
0.014312545148086;0.015618339887891
0.010546592824464;-0.000522755969472
0.007599325788587;0.0104229497913
0.020948711774621;-0.013245832026443
0.009294485913797;-0.026885741629872
0.019754394413677;-0.063856652270772
0.023568504695401;0.021223892360526
0.004748374668914;-0.071657779815186
0.010325066217192;-0.028043847162241
0.003399951842042;0.006546513217685
-0.002013002648688;-0.025349643319582
-0.011317120154106;0.044024095028994
-0.003149530459908;0.014355683161628
0.004767637852155;0.033231194859297
0.0104695400915;0.056111821523071
0.002754635203467;0.009176377864099
