# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; LBMNU
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
LBMNU;MSONDQ
0.018435395960244;0.017693278966713
-0.002885540237256;0.003828182176433
0.000144277011863;-0.005669891668878
0.006043603719141;-0.009264844258932
0.001747354921449;0.009618709838267
-0.005594741904457;-0.010093211410556
-0.009121513305547;-0.004511786136512
-0.005450464892594;0.002050811880233
-0.002260339852517;-0.001359165520625
0.005674895799936;0.020990662774145
0.012327669124719;-0.002074939078824
0.003606925296569;0.010294271398815
0.011766591856364;-0.001704988700429
-0.002084001282462;-0.003997072566569
-0.006348188521962;0.015763103079434
0.006027572940045;0.006988845191852
0.006300096184675;0.009345268254236
0.002709201667201;0.005179305297529
0.007806989419686;0.005887036456197
0.018804103879449;0.017033802205226
0.004488618146842;0.022116598708389
0.006636742545688;-0.009892151422298
0.01011542160949;0.013229747227384
0.016447579352357;0.008404307509188
0.010596344982366;0.008943148277721
0.002548893876242;0.009409607450479
0.010243667842257;0.029403012682863
0.01577428663033;0.020443779606085
0.010868868226996;0.017862169356849
0.005242064764348;0.001865836691034
-0.003029817249118;-0.019012232489686
-0.001250400769477;-0.053007455304365
-0.00686117345303;0.020282931615478
0.003655017633857;0.015570085490706
0.005081756973389;0.000812282352564
0.001987816607887;0.135956764060125
0.010788714331517;-0.106875447358475
0.007935235652453;0.035965610699609
0.00705354280218;0.017315286188788
0.010772683552421;0.044329706211144
0.010740621994229;0.007801127544413
0.005610772683552;-0.003498443795691
-0.003574863738378;-0.054961758390233
-0.004616864379609;-0.010599882580966
-0.015405578711125;-0.064580468228502
-0.005851234369991;0.014942778327343
-0.008768836165438;-0.002670076644068
0.005370310997115;0.034759250770061
0.003687079192049;0.004165962956706
1.60307790959546e-05;-0.010889408964058
0.012279576787432;0.010101253810088
0.014139147162552;0.018594027714107
0.008416159025329;0.017065971803349
0.006652773324784;0.042841862298034
0.012423853799295;0.015377067901981
0.018146841936518;0.041345975985394
0.012760500160308;0.028542475933119
0.008319974350754;0.02332295863794
0.006171849951908;0.044900716577798
-0.005322218659827;0.01314932323208
0.00325424815646;-0.041788307959563
-0.004328310355883;0.038909128927708
-0.02050336646361;-0.140733949381137
-0.038281500480923;-0.056337008709919
-0.010900929785188;-0.029419097481926
0.010708560436037;0.015964163067694
0.020278935556268;-0.02261522747927
0.019894196857967;0.019591285255869
0.000416800256492;0.022969093058605
0.004873356845143;0.044619232594236
0.006572619429304;-0.003763842980192
0.013129208079513;-0.000772070354911
0.023789676178262;0.038048592177962
0.013594100673293;0.011026129756074
0.012552100032062;0.020588542797628
0.005979480602757;0.020049702029097
0.038105161910869;0.047932701200731
0.011285668483488;0.033938926017968
0.016399487015069;0.030335931028381
0.009714652132094;0.074167008468647
0.005594741904457;-0.066985145688067
0.01159025328631;-0.0016969463009
0.002725232446297;0.004865651715847
-0.003318371272844;0.002396635060036
-0.024334722667522;-0.095784978406157
-0.006284065405579;0.015618339887891
0.016832318050657;-0.000522755969472
0.007614620070535;0.0104229497913
0.000496954151972;-0.013245832026443
-0.000480923372876;-0.026885741629872
-0.005354280218019;-0.063856652270772
-0.022266752164155;0.021223892360526
0.005274126322539;-0.071657779815186
-0.009682590573902;-0.028043847162241
-0.012263546008336;0.006546513217685
0.007871112536069;-0.025349643319582
0.015100993908304;0.044024095028994
0.02689964732286;0.014355683161628
0.026082077588971;0.033231194859297
0.027252324462969;0.056111821523071
