# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; Sfygm6
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
Sfygm6;MSONDQ
0.016635859519409;0.017693278966713
0.120147874306839;0.003828182176433
-0.099815157116451;-0.005669891668878
-0.036968576709797;-0.009264844258932
-0.025878003696857;0.009618709838267
0.029574861367837;-0.010093211410556
-0.014787430683919;-0.004511786136512
-0.075785582255083;0.002050811880233
-0.00184842883549;-0.001359165520625
0.060998151571165;0.020990662774145
-0.003696857670979;-0.002074939078824
-0.053604436229205;0.010294271398815
-0.057301293900185;-0.001704988700429
0.040665434380776;-0.003997072566569
-0.051756007393715;0.015763103079434
-0.00554528650647;0.006988845191852
0.014787430683919;0.009345268254236
0.022181146025878;0.005179305297529
0.005545286506469;0.005887036456197
0.00739371534196;0.017033802205226
-0.009242144177449;0.022116598708389
-0.005545286506469;-0.009892151422298
0.012939001848429;0.013229747227384
-0.029574861367837;0.008404307509188
-0.016635859519408;0.008943148277721
0.025878003696858;0.009409607450479
0.029574861367837;0.029403012682863
0.0;0.020443779606085
-0.007393715341959;0.017862169356849
0.077634011090573;0.001865836691034
-0.048059149722736;-0.019012232489686
-0.1090573012939;-0.053007455304365
0.1090573012939;0.020282931615478
0.186691312384473;0.015570085490706
-0.011090573012939;0.000812282352564
-0.177449168207024;0.135956764060125
-0.035120147874307;-0.106875447358475
-0.018484288354898;0.035965610699609
0.00184842883549;0.017315286188788
0.027726432532348;0.044329706211144
-0.003696857670979;0.007801127544413
0.044362292051756;-0.003498443795691
0.012939001848429;-0.054961758390233
-0.147874306839187;-0.010599882580966
0.092421441774492;-0.064580468228502
0.016635859519408;0.014942778327343
-0.014787430683919;-0.002670076644068
-0.042513863216266;0.034759250770061
0.070240295748614;0.004165962956706
0.033271719038817;-0.010889408964058
-0.049907578558226;0.010101253810088
0.107208872458411;0.018594027714107
0.053604436229205;0.017065971803349
0.024029574861368;0.042841862298034
-0.1090573012939;0.015377067901981
-0.012939001848429;0.041345975985394
-0.055452865064695;0.028542475933119
-0.057301293900185;0.02332295863794
0.016635859519408;0.044900716577798
-0.138632162661738;0.01314932323208
0.146025878003697;-0.041788307959563
0.11645101663586;0.038909128927708
-0.133086876155268;-0.140733949381137
0.011090573012939;-0.056337008709919
0.123844731977819;-0.029419097481926
0.064695009242144;0.015964163067694
-0.064695009242144;-0.02261522747927
0.00184842883549;0.019591285255869
0.012939001848429;0.022969093058605
-0.059149722735675;0.044619232594236
-0.064695009242144;-0.003763842980192
0.053604436229205;-0.000772070354911
-0.00554528650647;0.038048592177962
0.016635859519409;0.011026129756074
0.024029574861368;0.020588542797628
-0.003696857670979;0.020049702029097
0.121996303142329;0.047932701200731
-0.127541589648799;0.033938926017968
0.10720887245841;0.030335931028381
-0.229205175600739;0.074167008468647
-0.044362292051756;-0.066985145688067
-0.009242144177449;-0.0016969463009
-0.022181146025878;0.004865651715847
-0.022181146025878;0.002396635060036
0.057301293900185;-0.095784978406157
0.11090573012939;0.015618339887891
-0.304990757855823;-0.000522755969472
-0.21441774491682;0.0104229497913
0.062846580406654;-0.013245832026443
0.353049907578558;-0.026885741629872
0.253234750462107;-0.063856652270772
-0.114602587800369;0.021223892360526
-0.068391866913124;-0.071657779815186
0.513863216266174;-0.028043847162241
-0.390018484288355;0.006546513217685
-0.158964879852126;-0.025349643319582
0.00184842883549;0.044024095028994
0.051756007393716;0.014355683161628
0.005545286506469;0.033231194859297
