# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; HSNE
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
HSNE;MSONDQ
-0.261013215859031;0.017693278966713
-0.050660792951541;0.003828182176433
0.014317180616739;-0.005669891668878
-0.073788546255506;-0.009264844258932
-0.052863436123348;0.009618709838267
-0.022026431718063;-0.010093211410556
0.123348017621144;-0.004511786136512
-0.145374449339207;0.002050811880233
0.13215859030837;-0.001359165520625
0.084801762114539;0.020990662774145
-0.028634361233481;-0.002074939078824
-0.031938325991187;0.010294271398815
0.102422907488987;-0.001704988700429
-0.087004405286346;-0.003997072566569
0.064977973568283;0.015763103079434
-0.205947136563875;0.006988845191852
0.215859030837003;0.009345268254236
-0.044052863436122;0.005179305297529
-0.020925110132161;0.005887036456197
-0.04295154185022;0.017033802205226
0.020925110132161;0.022116598708389
0.001101321585902;-0.009892151422298
0.095814977973568;0.013229747227384
-0.126651982378853;0.008404307509188
0.128854625550661;0.008943148277721
-0.061674008810574;0.009409607450479
0.105726872246696;0.029403012682863
-0.13215859030837;0.020443779606085
-0.095814977973568;0.017862169356849
-0.066079295154185;0.001865836691034
-0.140969162995596;-0.019012232489686
0.114537444933922;-0.053007455304365
-0.016519823788546;0.020282931615478
0.16409691629956;0.015570085490706
-0.019823788546255;0.000812282352564
-0.105726872246696;0.135956764060125
0.057268722466959;-0.106875447358475
0.136563876651981;0.035965610699609
-0.149779735682818;0.017315286188788
0.150881057268723;0.044329706211144
-0.037444933920707;0.007801127544413
-0.285242290748897;-0.003498443795691
0.024229074889867;-0.054961758390233
0.13215859030837;-0.010599882580966
-0.048458149779734;-0.064580468228502
0.073788546255506;0.014942778327343
0.082599118942731;-0.002670076644068
-0.048458149779737;0.034759250770061
0.081497797356829;0.004165962956706
0.064977973568283;-0.010889408964058
0.045154185022024;0.010101253810088
0.12114537444934;0.018594027714107
-0.113436123348016;0.017065971803349
0.17511013215859;0.042841862298034
0.08590308370044;0.015377067901981
-0.160792951541851;0.041345975985394
-0.063876651982378;0.028542475933119
-0.116740088105729;0.02332295863794
-0.099118942731277;0.044900716577798
0.0;0.01314932323208
-0.100220264317179;-0.041788307959563
-0.112334801762114;0.038909128927708
-0.100220264317179;-0.140733949381137
0.031938325991187;-0.056337008709919
-0.040748898678413;-0.029419097481926
0.080396475770924;0.015964163067694
-0.016519823788546;-0.02261522747927
0.07819383259912;0.019591285255869
-0.073788546255506;0.022969093058605
-0.013215859030837;0.044619232594236
0.083700440528633;-0.003763842980192
-0.037444933920704;-0.000772070354911
0.1079295154185;0.038048592177962
0.008810572687226;0.011026129756074
-0.01101321585903;0.020588542797628
-0.238986784140971;0.020049702029097
0.29625550660793;0.047932701200731
-0.001101321585902;0.033938926017968
-0.040748898678416;0.030335931028381
0.006607929515419;0.074167008468647
-0.111233480176209;-0.066985145688067
-0.036343612334802;-0.0016969463009
0.074889867841407;0.004865651715847
-0.205947136563875;0.002396635060036
0.003303964757709;-0.095784978406157
0.045154185022028;0.015618339887891
-0.056167400881057;-0.000522755969472
0.024229074889867;0.0104229497913
-0.040748898678413;-0.013245832026443
0.026431718061674;-0.026885741629872
-0.060572687224672;-0.063856652270772
-0.033039647577092;0.021223892360526
0.036343612334801;-0.071657779815186
0.063876651982381;-0.028043847162241
0.015418502202641;0.006546513217685
0.222466960352425;-0.025349643319582
-0.11343612334802;0.044024095028994
0.025330396475772;0.014355683161628
-0.048458149779737;0.033231194859297
