# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; LHUR
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
LHUR;MSONDQ
-0.10091743119266;0.017693278966713
0.022935779816514;0.003828182176433
0.045871559633027;-0.005669891668878
-0.064220183486239;-0.009264844258932
0.013761467889908;0.009618709838267
0.041284403669725;-0.010093211410556
0.100917431192661;-0.004511786136512
0.073394495412843;0.002050811880233
0.027522935779816;-0.001359165520625
-0.032110091743119;0.020990662774145
-0.077981651376147;-0.002074939078824
-0.077981651376147;0.010294271398815
-0.013761467889908;-0.001704988700429
0.004587155963304;-0.003997072566569
-0.004587155963304;0.015763103079434
0.03211009174312;0.006988845191852
-0.004587155963304;0.009345268254236
-0.032110091743119;0.005179305297529
0.009174311926606;0.005887036456197
-0.013761467889908;0.017033802205226
-0.036697247706422;0.022116598708389
-0.027522935779816;-0.009892151422298
-0.004587155963302;0.013229747227384
-0.009174311926606;0.008404307509188
-0.032110091743119;0.008943148277721
-0.041284403669725;0.009409607450479
-0.036697247706422;0.029403012682863
-0.032110091743119;0.020443779606085
-0.004587155963304;0.017862169356849
-0.009174311926605;0.001865836691034
-0.009174311926606;-0.019012232489686
0.01834862385321;-0.053007455304365
0.0;0.020282931615478
-0.004587155963302;0.015570085490706
0.013761467889908;0.000812282352564
-0.022935779816514;0.135956764060125
-0.022935779816513;-0.106875447358475
-0.004587155963304;0.035965610699609
-0.018348623853211;0.017315286188788
0.0;0.044329706211144
0.004587155963302;0.007801127544413
0.018348623853212;-0.003498443795691
0.0;-0.054961758390233
0.082568807339449;-0.010599882580966
0.082568807339449;-0.064580468228502
0.055045871559633;0.014942778327343
0.091743119266054;-0.002670076644068
0.013761467889908;0.034759250770061
-0.004587155963302;0.004165962956706
0.01834862385321;-0.010889408964058
-0.013761467889908;0.010101253810088
-0.022935779816513;0.018594027714107
-0.009174311926606;0.017065971803349
-0.018348623853211;0.042841862298034
-0.027522935779816;0.015377067901981
-0.059633027522936;0.041345975985394
0.0;0.028542475933119
-0.018348623853211;0.02332295863794
-0.004587155963302;0.044900716577798
0.050458715596329;0.01314932323208
0.009174311926606;-0.041788307959563
0.059633027522935;0.038909128927708
0.13302752293578;-0.140733949381137
0.229357798165137;-0.056337008709919
0.082568807339449;-0.029419097481926
-0.055045871559633;0.015964163067694
-0.022935779816514;-0.02261522747927
-0.077981651376147;0.019591285255869
-0.022935779816513;0.022969093058605
0.022935779816513;0.044619232594236
0.004587155963304;-0.003763842980192
-0.036697247706423;-0.000772070354911
-0.05045871559633;0.038048592177962
-0.032110091743119;0.011026129756074
-0.032110091743119;0.020588542797628
-0.045871559633028;0.020049702029097
-0.045871559633027;0.047932701200731
0.004587155963302;0.033938926017968
-0.01834862385321;0.030335931028381
-0.004587155963302;0.074167008468647
-0.022935779816514;-0.066985145688067
0.022935779816514;-0.0016969463009
0.013761467889908;0.004865651715847
0.045871559633027;0.002396635060036
0.142201834862384;-0.095784978406157
0.045871559633028;0.015618339887891
-0.036697247706422;-0.000522755969472
0.004587155963302;0.0104229497913
-0.004587155963302;-0.013245832026443
0.0;-0.026885741629872
0.114678899082568;-0.063856652270772
0.082568807339449;0.021223892360526
0.082568807339449;-0.071657779815186
0.064220183486239;-0.028043847162241
0.105504587155967;0.006546513217685
-0.041284403669725;-0.025349643319582
-0.032110091743128;0.044024095028994
-0.105504587155958;0.014355683161628
-0.114678899082569;0.033231194859297
-0.091743119266054;0.056111821523071
