# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; EXRCAN
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
EXRCAN;MSONDQ
-0.013492855765508;0.017693278966713
-0.01137328838472;0.003828182176433
-0.007289243919297;-0.005669891668878
0.003360289750031;-0.009264844258932
0.034843619869549;0.009618709838267
-0.001240722369242;-0.010093211410556
0.00884014688085;-0.004511786136512
0.016698055219382;0.002050811880233
0.005945128019286;-0.001359165520625
0.059296189896694;0.020990662774145
0.006565489203901;-0.002074939078824
0.017783687292475;0.010294271398815
0.039651419050366;-0.001704988700429
0.007134153623142;-0.003997072566569
-0.002481444738484;0.015763103079434
0.002067870615398;0.006988845191852
-0.000206787061535;0.009345268254236
0.005169676538503;0.005179305297529
-0.003877257403881;0.005887036456197
0.003050109157725;0.017033802205226
0.000982238542311;0.022116598708389
-0.003463683280796;-0.009892151422298
-0.006307005376986;0.013229747227384
0.003515380046191;0.008404307509188
0.005273070069279;0.008943148277721
-0.001292419134638;0.009409607450479
-0.006410398907746;0.029403012682863
0.000672057950001;0.020443779606085
0.001550902961552;0.017862169356849
-0.002016173850018;0.001865836691034
0.009408811300091;-0.019012232489686
-0.001395812665398;-0.053007455304365
0.001550902961553;0.020282931615478
-0.008271482461609;0.015570085490706
-0.000155090296155;0.000812282352564
0.014475094307819;0.135956764060125
-0.011218198088559;-0.106875447358475
-0.008064695400074;0.035965610699609
-0.000258483826931;0.017315286188788
0.002636535034639;0.044329706211144
0.004549315353883;0.007801127544413
0.002171264146173;-0.003498443795691
-0.004710092294235;-0.054961758390233
-0.004802629504264;-0.010599882580966
-0.017776449745316;-0.064580468228502
-0.059314283764579;0.014942778327343
-0.005437982750868;-0.002670076644068
-0.017430081417225;0.034759250770061
0.006232562034816;0.004165962956706
0.005222407239212;-0.010889408964058
-0.020612844474939;0.010101253810088
0.000631165808592;0.018594027714107
-0.023262562184752;0.017065971803349
-0.007636232608561;0.042841862298034
0.009039231124347;0.015377067901981
0.012782438815587;0.041345975985394
0.00432893204305;0.028542475933119
0.006084502498763;0.02332295863794
-0.006277072949823;0.044900716577798
-0.030755801540253;0.01314932323208
-0.022691261230476;-0.041788307959563
0.023966206858404;0.038909128927708
0.008292057774237;-0.140733949381137
0.019154737207248;-0.056337008709919
0.036356008740884;-0.029419097481926
0.013754441398362;0.015964163067694
-0.020547396369962;-0.02261522747927
-0.034627475693469;0.019591285255869
-0.025063057129579;0.022969093058605
-0.002441121261484;0.044619232594236
0.022713387446061;-0.003763842980192
0.058267424265531;-0.000772070354911
0.035384885003135;0.038048592177962
0.026760313633926;0.011026129756074
0.049576164068991;0.020588542797628
0.017877775405481;0.020049702029097
0.021747278294539;0.047932701200731
0.025457038178573;0.033938926017968
0.053942989841074;0.030335931028381
0.012284185390809;0.074167008468647
-0.043985158892593;-0.066985145688067
0.013168717046543;-0.0016969463009
0.012998117720772;0.004865651715847
-0.016826263197548;0.002396635060036
0.009973339978096;-0.095784978406157
-0.018334257843826;0.015618339887891
0.03930349981933;-0.000522755969472
0.014655516019008;0.0104229497913
0.008012998634694;-0.013245832026443
0.019954951438648;-0.026885741629872
-0.030759575404137;-0.063856652270772
0.02683062123486;0.021223892360526
0.055470629258203;-0.071657779815186
0.008012998634694;-0.028043847162241
-0.028484917727188;0.006546513217685
-0.00625530861159;-0.025349643319582
0.005841734488505;0.044024095028994
0.002429747973104;0.014355683161628
0.008736753350074;0.033231194859297
0.026106866519479;0.056111821523071
