# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; LHELX
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
LHELX;MSONDQ
0.087061087061087;0.017693278966713
0.008016674683342;0.003828182176433
-0.032547699214366;-0.005669891668878
0.035113035113035;-0.009264844258932
-0.037678371011704;0.009618709838267
-0.046817380150713;-0.010093211410556
-0.066538399871733;-0.004511786136512
-0.031104697771364;0.002050811880233
0.003367003367003;-0.001359165520625
0.027898027898028;0.020990662774145
0.054673721340388;-0.002074939078824
0.045053711720379;0.010294271398815
0.007856341189674;-0.001704988700429
-0.014430014430014;-0.003997072566569
-0.010421677088344;0.015763103079434
-0.009139009139009;0.006988845191852
-0.002084335417669;0.009345268254236
0.015712682379349;0.005179305297529
0.002725669392336;0.005887036456197
0.014590347923681;0.017033802205226
0.034792368125701;0.022116598708389
0.041366041366041;-0.009892151422298
0.018278018278018;0.013229747227384
0.028058361391696;0.008404307509188
0.056437389770721;0.008943148277721
0.064133397466729;0.009409607450479
0.115440115440115;0.029403012682863
0.107263107263107;0.020443779606085
0.016033349366686;0.017862169356849
0.007375340708672;0.001865836691034
-0.007054673721342;-0.019012232489686
-0.040564373897706;-0.053007455304365
-0.019881353214685;0.020282931615478
-0.007215007215007;0.015570085490706
-0.012185345518682;0.000812282352564
0.053230719897388;0.135956764060125
0.066378066378066;-0.106875447358475
0.043771043771044;0.035965610699609
0.088985088985089;0.017315286188788
0.031104697771366;0.044329706211144
-0.020683020683021;0.007801127544413
-0.076158409491746;-0.003498443795691
-0.010582010582011;-0.054961758390233
-0.21067821067821;-0.010599882580966
-0.163219496552828;-0.064580468228502
-0.08994708994709;0.014942778327343
-0.08385441718775;-0.002670076644068
-0.018438351771685;0.034759250770061
0.011223344556678;0.004165962956706
-0.000641333974668;-0.010889408964058
0.008016674683342;0.010101253810088
0.040564373897707;0.018594027714107
0.027096360429694;0.017065971803349
0.034792368125701;0.042841862298034
0.080808080808081;0.015377067901981
0.092512425845758;0.041345975985394
-0.001443001443001;0.028542475933119
0.01523168189835;0.02332295863794
-0.013468013468013;0.044900716577798
-0.075517075517075;0.01314932323208
-0.006894340227672;-0.041788307959563
-0.088664421997758;0.038909128927708
-0.146544813211478;-0.140733949381137
-0.115760782427449;-0.056337008709919
-0.017636684303351;-0.029419097481926
0.021164021164021;0.015964163067694
0.016354016354016;-0.02261522747927
0.034792368125702;0.019591285255869
0.015071348404682;0.022969093058605
-0.007856341189674;0.044619232594236
0.008337341670675;-0.003763842980192
0.03030303030303;-0.000772070354911
0.040083373416707;0.038048592177962
0.033670033670034;0.011026129756074
0.049222382555716;0.020588542797628
0.042969376302709;0.020049702029097
0.064935064935065;0.047932701200731
0.000320666987335;0.033938926017968
0.037357704024367;0.030335931028381
-0.016193682860346;0.074167008468647
0.029180695847359;-0.066985145688067
-0.021164021164021;-0.0016969463009
-0.017155683822347;0.004865651715847
-0.072951739618408;0.002396635060036
-0.144941478274811;-0.095784978406157
-0.017155683822351;0.015618339887891
0.026615359948693;-0.000522755969472
-0.01010101010101;0.0104229497913
-0.001924001924002;-0.013245832026443
-0.009940676607343;-0.026885741629872
-0.070386403719737;-0.063856652270772
-0.037999037999038;0.021223892360526
-0.037197370530704;-0.071657779815186
-0.0338303671637;-0.028043847162241
-0.016033349366683;0.006546513217685
0.01266634599968;-0.025349643319582
0.022126022126022;0.044024095028994
0.03687670354337;0.014355683161628
0.052429052429052;0.033231194859297
