# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; LHNAG
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
LHNAG;MSONDQ
0.006562261743608;0.017693278966713
0.004874045029486;0.003828182176433
0.001233098383357;-0.005669891668878
0.005021861239479;-0.009264844258932
0.008394404767461;0.009618709838267
-0.002660691779863;-0.010093211410556
-0.001190309480465;-0.004511786136512
-0.00013225660894;0.002050811880233
0.002123885543575;-0.001359165520625
3.88990026256239e-06;0.020990662774145
0.004488944903453;-0.002074939078824
0.00382766185875;0.010294271398815
0.004726228819493;-0.001704988700429
0.004885714730274;-0.003997072566569
0.00211610574305;0.015763103079434
0.002345609858563;0.006988845191852
0.006410555633353;0.009345268254236
0.004566742908711;0.005179305297529
0.0027618291867;0.005887036456197
0.006068244410213;0.017033802205226
0.009036238310849;0.022116598708389
9.72475065747214e-05;-0.009892151422298
0.00430222969083;0.013229747227384
0.007348021596727;0.008404307509188
0.005632575580762;0.008943148277721
0.007748681323811;0.009409607450479
0.006686738552024;0.029403012682863
0.005776501890492;0.020443779606085
0.005760942289439;0.017862169356849
0.00658949104545;0.001865836691034
0.006752866856494;-0.019012232489686
0.000540696136551;-0.053007455304365
0.006079914111002;0.020282931615478
0.006165491916787;0.015570085490706
0.004426706499246;0.000812282352564
-0.000369540524981;0.135956764060125
0.010961738941013;-0.106875447358475
0.002462306866452;0.035965610699609
0.004912944032115;0.017315286188788
0.008192129953788;0.044329706211144
0.005679254383918;0.007801127544413
0.007507507507507;-0.003498443795691
0.006130482814421;-0.054961758390233
0.002559554373025;-0.010599882580966
-0.00289408579564;-0.064580468228502
0.000875227559165;0.014942778327343
0.001470382299398;-0.002670076644068
0.001069722572314;0.034759250770061
0.001598749008075;0.004165962956706
0.007231324588837;-0.010889408964058
0.008227139056155;0.010101253810088
0.011584122983087;0.018594027714107
0.007589195413029;0.017065971803349
0.005017971339215;0.042841862298034
0.005990446404955;0.015377067901981
0.011381848169413;0.041345975985394
0.011339059266521;0.028542475933119
0.006161602016524;0.02332295863794
0.009137375717687;0.044900716577798
0.003069131307473;0.01314932323208
0.004597862110815;-0.041788307959563
0.003532029438764;0.038909128927708
-0.005228025953415;-0.140733949381137
-0.014073659151379;-0.056337008709919
-0.000770200252066;-0.029419097481926
0.008795064494547;0.015964163067694
0.005799841292069;-0.02261522747927
0.013871384337706;0.019591285255869
0.010067061880533;0.022969093058605
0.007060168977267;0.044619232594236
0.005476979570245;-0.003763842980192
0.010028162877903;-0.000772070354911
0.013381256904573;0.038048592177962
0.010191538688948;0.011026129756074
0.013350137702469;0.020588542797628
0.010121520484214;0.020049702029097
0.014766061398187;0.047932701200731
0.006223840420731;0.033938926017968
0.012295974731208;0.030335931028381
0.010117630583952;0.074167008468647
0.001976069333582;-0.066985145688067
0.007091288179371;-0.0016969463009
0.006643949649131;0.004865651715847
0.002746269585647;0.002396635060036
-0.010113740683688;-0.095784978406157
-0.000602934540759;0.015618339887891
0.00597099690364;-0.000522755969472
0.009110146415845;0.0104229497913
0.006192721218628;-0.013245832026443
-0.002956324199847;-0.026885741629872
-0.00480013692449;-0.063856652270772
-0.004628981312918;0.021223892360526
0.000517356734973;-0.071657779815186
-0.002660691779863;-0.028043847162241
-0.005792061491543;0.006546513217685
0.001174749879412;-0.025349643319582
0.009553595045823;0.044024095028994
0.018663741461668;0.014355683161628
0.012976707277225;0.033231194859297
0.012739423361185;0.056111821523071
0.0155207020492;0.009176377864099
