# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; LHEM
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
LHEM;MSONDQ
0.010109025250296;0.017693278966713
0.001250976692968;0.003828182176433
0.000635609517139;-0.005669891668878
0.003473585768824;-0.009264844258932
0.010299303258612;0.009618709838267
-0.000457476913609;-0.010093211410556
-0.002234754480642;-0.004511786136512
-0.001234782819921;0.002050811880233
-0.00161129036829;-0.001359165520625
0.000748966628477;0.020990662774145
0.003639572967568;-0.002074939078824
0.005016052176659;0.010294271398815
0.002392644742862;-0.001704988700429
0.003696251523236;-0.003997072566569
0.001072844089438;0.015763103079434
0.002182124393236;0.006988845191852
0.005906715194306;0.009345268254236
0.004376394191259;0.005179305297529
0.00318614452222;0.005887036456197
0.00431971563559;0.017033802205226
0.009570578971446;0.022116598708389
0.000951390041577;-0.009892151422298
0.002797491569064;0.013229747227384
0.005797406551232;0.008404307509188
0.008619188929868;0.008943148277721
0.005732631059039;0.009409607450479
0.005558546923772;0.029403012682863
0.004206358524252;0.020443779606085
0.005109166946686;0.017862169356849
0.005999829964333;0.001865836691034
0.006906686855029;-0.019012232489686
-0.001028310938557;-0.053007455304365
0.005214427121498;0.020282931615478
0.008651576675966;0.015570085490706
0.006105090139145;0.000812282352564
-0.001380527677352;0.135956764060125
0.010291206322088;-0.106875447358475
0.001829907654439;0.035965610699609
0.004833871104867;0.017315286188788
0.008109081928851;0.044329706211144
0.005327784232836;0.007801127544413
0.006655681822782;-0.003498443795691
0.005129409287996;-0.054961758390233
0.00248980798115;-0.010599882580966
-0.001757035225722;-0.064580468228502
-0.00023885962746;0.014942778327343
0.000327925929225;-0.002670076644068
0.000902808422433;0.034759250770061
0.002959430299547;0.004165962956706
0.006679972632355;-0.010889408964058
0.008716352168158;0.010101253810088
0.011959175246045;0.018594027714107
0.008036209500136;0.017065971803349
0.006987656220269;0.042841862298034
0.006700214973665;0.015377067901981
0.010198091552062;0.041345975985394
0.011606958507248;0.028542475933119
0.006473500750991;0.02332295863794
0.010999688267944;0.044900716577798
0.005748824932087;0.01314932323208
0.001510078661739;-0.041788307959563
0.002979672640856;0.038909128927708
-0.005959345281713;-0.140733949381137
-0.014959090228211;-0.056337008709919
-0.000303635119652;-0.029419097481926
0.009764905448024;0.015964163067694
0.004388539596043;-0.02261522747927
0.01443683782241;0.019591285255869
0.010995639799681;0.022969093058605
0.006947171537649;0.044619232594236
0.004947228216204;-0.003763842980192
0.009582724376232;-0.000772070354911
0.015813317031501;0.038048592177962
0.009080714311741;0.011026129756074
0.014942896355164;0.020588542797628
0.011092803037971;0.020049702029097
0.015578505872303;0.047932701200731
0.006821669021526;0.033938926017968
0.012177792532196;0.030335931028381
0.01035598181428;0.074167008468647
0.001441254701284;-0.066985145688067
0.008133372738425;-0.0016969463009
0.007242709720777;0.004865651715847
0.002736764545134;0.002396635060036
-0.011040172950564;-0.095784978406157
-0.000659900326711;0.015618339887891
0.007283194403398;-0.000522755969472
0.008991648009975;0.0104229497913
0.00682166902153;-0.013245832026443
-0.003870335658508;-0.026885741629872
-0.004922937406628;-0.063856652270772
-0.004469508961288;0.021223892360526
0.000441283040561;-0.071657779815186
-0.00244932329853;-0.028043847162241
-0.005145603161043;0.006546513217685
0.000283392778342;-0.025349643319582
0.009740614638452;0.044024095028994
0.020230195905383;0.014355683161628
0.011870108944277;0.033231194859297
0.013068455549843;0.056111821523071
0.016712076985673;0.009176377864099
