# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; FMRRA
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
FMRRA;MSONDQ
-0.00010268156405;0.017693278966713
0.000151105256188;0.003828182176433
-0.000109099161803;-0.005669891668878
-0.000266622015744;-0.009264844258932
-0.000156939435963;0.009618709838267
0.000424144869685;-0.010093211410556
0.000316795961814;-0.004511786136512
-5.89252157334421e-05;0.002050811880233
-0.000242701878664;-0.001359165520625
0.000234534026978;0.020990662774145
0.000435813229236;-0.002074939078824
-0.00020069578428;0.010294271398815
-4.66734382052541e-06;-0.001704988700429
5.25076179802421e-05;-0.003997072566569
0.000241535042709;0.015763103079434
-6.94267393293122e-05;0.006988845191852
-8.98463685440885e-05;0.009345268254236
0.000142353986524;0.005179305297529
0.00012660170113;0.005887036456197
1.10849415735472e-05;0.017033802205226
-5.71749618005892e-05;0.022116598708389
0.000381555357323;-0.009892151422298
0.000343049770804;0.013229747227384
-0.000103848400005;0.008404307509188
0.000140603732592;0.008943148277721
0.000153438928098;0.009409607450479
0.000173858557312;0.029403012682863
7.6427755060011e-05;0.020443779606085
7.29272471948401e-05;0.017862169356849
-7.00101573069883e-06;0.001865836691034
-8.05116809030376e-05;-0.019012232489686
0.000247952640462;-0.053007455304365
0.00018144299102;0.020282931615478
0.000515158074184;0.015570085490706
0.000672680928125;0.000812282352564
0.000124851447197;0.135956764060125
-6.70930674191387e-05;-0.106875447358475
0.000485403757328;0.035965610699609
0.000358802056198;0.017315286188788
2.97543168554706e-05;0.044329706211144
6.65096494416404e-05;0.007801127544413
-7.58443370819841e-06;-0.003498443795691
0.000669180420259;-0.054961758390233
7.58443370837535e-06;-0.010599882580966
2.15864651695961e-05;-0.064580468228502
0.00034655027867;0.014942778327343
0.000361719146086;-0.002670076644068
0.000415977017999;0.034759250770061
0.000336632173051;0.004165962956706
0.000548412898905;-0.010889408964058
-2.91708988779714e-05;0.010101253810088
0.000305711020241;0.018594027714107
0.000634175341606;0.017065971803349
0.000318546215747;0.042841862298034
0.000836621379819;0.015377067901981
0.000621923564077;0.041345975985394
-0.000114349923602;0.028542475933119
0.000215864651697;0.02332295863794
0.000235700862933;0.044900716577798
0.000323796977545;0.01314932323208
0.000355884966311;-0.041788307959563
0.000101514728095;0.038909128927708
5.25076179802436e-05;-0.140733949381137
-0.000215281233719;-0.056337008709919
0.000340132680916;-0.029419097481926
0.000326714067433;0.015964163067694
7.70111730376884e-05;-0.02261522747927
2.27533011247713e-05;0.019591285255869
0.000179692737088;0.022969093058605
0.0001767756472;0.044619232594236
0.00052332592587;-0.003763842980192
0.000186693752819;-0.000772070354911
0.000239201370799;0.038048592177962
0.000586335067446;0.011026129756074
0.000247952640462;0.020588542797628
0.000683765869698;0.020049702029097
0.000463233874181;0.047932701200731
0.000637675849471;0.033938926017968
-0.000169191213492;0.030335931028381
-0.000634758759583;0.074167008468647
0.000127768537085;-0.066985145688067
0.000666263330371;-0.0016969463009
0.000866959114652;0.004865651715847
0.000341299516872;0.002396635060036
-0.00025320340226;-0.095784978406157
0.000813868078694;0.015618339887891
0.00132610906299;-0.000522755969472
0.000159273107873;0.0104229497913
0.000799282629255;-0.013245832026443
0.00012660170113;-0.026885741629872
-5.54247078680958e-05;-0.063856652270772
0.000347133696647;0.021223892360526
-0.00032963115732;-0.071657779815186
6.35925595537899e-05;-0.028043847162241
0.001532639027046;0.006546513217685
0.000990643725894;-0.025349643319582
