# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; CES278.R
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
CES278.R;MSONDQ
0.025325828339604;0.017693278966713
-0.014220290036919;0.003828182176433
-0.007485360082961;-0.005669891668878
0.049406462452151;-0.009264844258932
-0.008445497367872;0.009618709838267
0.001481954842263;-0.010093211410556
-0.003296707499089;-0.004511786136512
-0.000214305658936;0.002050811880233
0.029986783182354;-0.001359165520625
0.011780824445826;0.020990662774145
0.020589865793567;-0.002074939078824
0.013257551682858;0.010294271398815
-0.001618258023619;-0.001704988700429
0.007359921647951;-0.003997072566569
0.006440030384459;0.015763103079434
0.013020365700981;0.006988845191852
0.016117918992614;0.009345268254236
0.008515837050329;0.005179305297529
0.011041248738716;0.005887036456197
-0.001059077715188;0.017033802205226
0.017223430506819;0.022116598708389
0.011530581496071;-0.009892151422298
-0.010904388037928;0.013229747227384
0.029925065090809;0.008404307509188
0.01037146896053;0.008943148277721
0.006903609184638;0.009409607450479
0.014555183711641;0.029403012682863
0.009471448791541;0.020443779606085
0.005630722759936;0.017862169356849
0.01222396912568;0.001865836691034
0.008655737264589;-0.019012232489686
0.011151326480425;-0.053007455304365
0.00895608056415;0.020282931615478
0.010427636636186;0.015570085490706
0.005552897174338;0.000812282352564
0.035247158848521;0.135956764060125
0.01251392948584;-0.106875447358475
0.002976750527572;0.035965610699609
0.020260991952319;0.017315286188788
0.011859679033388;0.044329706211144
0.00101361716619;0.007801127544413
0.017792441741551;-0.003498443795691
0.002896285328304;-0.054961758390233
-0.002762494425941;-0.010599882580966
0.006584802355101;-0.064580468228502
0.014381656814933;0.014942778327343
-0.022660716730983;-0.002670076644068
0.052510823675747;0.034759250770061
0.008740330860992;0.004165962956706
0.007107860909453;-0.010889408964058
0.013636823217619;0.010101253810088
0.038355997435088;0.018594027714107
0.030299995545089;0.017065971803349
0.017242675252316;0.042841862298034
0.032609895680615;0.015377067901981
0.01660130694069;0.041345975985394
-0.010238236265948;0.028542475933119
0.00119340204667;0.02332295863794
-0.010380412673812;0.044900716577798
-0.041230633801307;0.01314932323208
-0.003250135352631;-0.041788307959563
0.016658401750523;0.038909128927708
0.005881419296512;-0.140733949381137
0.001269449076376;-0.056337008709919
0.006845393141201;-0.029419097481926
0.003303712971902;0.015964163067694
0.001637582611415;-0.02261522747927
0.031308358950788;0.019591285255869
0.025997957959052;0.022969093058605
0.026981124238778;0.044619232594236
0.002974070992743;-0.003763842980192
0.017799034236993;-0.000772070354911
0.015898491037677;0.038048592177962
0.018790215719205;0.011026129756074
0.013062560975593;0.020588542797628
0.019735503714426;0.020049702029097
-0.005235880601705;0.047932701200731
0.013714823630291;0.033938926017968
0.019465657417149;0.030335931028381
0.013727228782232;0.074167008468647
-0.032517105171684;-0.066985145688067
-0.014199204100656;-0.0016969463009
-0.016540241353392;0.004865651715847
-0.027801342037139;0.002396635060036
-0.007768007990476;-0.095784978406157
0.015730735499731;0.015618339887891
0.016947436353084;-0.000522755969472
-0.008420716660715;0.0104229497913
0.019691825851052;-0.013245832026443
0.009889706766718;-0.026885741629872
-0.002752408830248;-0.063856652270772
0.02028632811404;0.021223892360526
0.003901240294113;-0.071657779815186
-0.010410272314326;-0.028043847162241
-0.01965837950207;0.006546513217685
0.010159550999109;-0.025349643319582
-0.002901199070712;0.044024095028994
-0.007742827383558;0.014355683161628
0.016732249675769;0.033231194859297
-0.000273392396318;0.056111821523071
