# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; UTL11
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
UTL11;MSONDQ
0.140551992636963;0.017693278966713
-0.179082972385664;0.003828182176433
-0.018661950087774;-0.005669891668878
0.193889913166722;-0.009264844258932
-0.139093499413368;0.009618709838267
-0.106700835399042;-0.010093211410556
-0.134379861031471;-0.004511786136512
-0.08926801871341;0.002050811880233
0.111413003525671;-0.001359165520625
0.090864715931982;0.020990662774145
0.098205700473716;-0.002074939078824
0.024053376147165;0.010294271398815
0.006589684100954;-0.001704988700429
0.009900698959355;-0.003997072566569
0.003280139497821;0.015763103079434
0.030041725844441;0.006988845191852
0.064727988073289;0.009345268254236
-0.01000214657269;0.005179305297529
0.028556768026064;0.005887036456197
0.012875025361903;0.017033802205226
0.046273343977981;0.022116598708389
0.02259341266831;-0.009892151422298
0.019189771728165;0.013229747227384
0.104711580024524;0.008404307509188
0.023469684806676;0.008943148277721
0.022236140638741;0.009409607450479
0.003600655145745;0.029403012682863
0.050090126647787;0.020443779606085
0.019722004134361;0.017862169356849
-0.014245303269555;0.001865836691034
-0.028805241165973;-0.019012232489686
-0.088484372656781;-0.053007455304365
-0.079664311317729;0.020282931615478
-0.036338829147518;0.015570085490706
0.059482117285205;0.000812282352564
0.001130626299337;0.135956764060125
-0.001958380013939;-0.106875447358475
-0.026588096225266;0.035965610699609
0.018980995480438;0.017315286188788
0.025400129970563;0.044329706211144
-0.032823448807179;0.007801127544413
-0.003418343492797;-0.003498443795691
-0.073343683930407;-0.054961758390233
-0.146978478403417;-0.010599882580966
-0.061484604957114;-0.064580468228502
-0.057548731610781;0.014942778327343
-0.120631504041735;-0.002670076644068
0.050634121096106;0.034759250770061
0.00592071795505;0.004165962956706
-0.010821078755692;-0.010889408964058
0.076626763938756;0.010101253810088
0.114278531038559;0.018594027714107
0.046845273276343;0.017065971803349
0.024353308221376;0.042841862298034
0.101180026876265;0.015377067901981
0.085720292757227;0.041345975985394
-0.005216465682769;0.028542475933119
-0.00934935323471;0.02332295863794
0.033352740702842;0.044900716577798
-0.067393560870042;0.01314932323208
-0.036225619492056;-0.041788307959563
-0.044116479503172;0.038909128927708
-0.18611814383213;-0.140733949381137
-0.308578645424417;-0.056337008709919
-0.0751623896941;-0.029419097481926
0.083980980777883;0.015964163067694
0.063604713050279;-0.02261522747927
0.089906109498734;0.019591285255869
0.03358945180062;0.022969093058605
0.025813271700231;0.044619232594236
0.029371289443273;-0.003763842980192
0.064225160772414;-0.000772070354911
0.093711130126413;0.038048592177962
0.015614110921938;0.011026129756074
0.001895159037514;0.020588542797628
-0.030973867682906;0.020049702029097
0.086102559126316;0.047932701200731
0.007014587872745;0.033938926017968
0.044006210358242;0.030335931028381
-0.017554847872688;0.074167008468647
-0.038160475421745;-0.066985145688067
-0.036231500513117;-0.0016969463009
-0.024856135522248;0.004865651715847
-0.016296309365233;0.002396635060036
-0.207067811113365;-0.095784978406157
-0.094978490165461;0.015618339887891
0.123670521675972;-0.000522755969472
-0.023282962387931;0.0104229497913
-0.006452950361242;-0.013245832026443
-0.024585608553357;-0.026885741629872
-0.110277966460537;-0.063856652270772
-0.09874969492203;0.021223892360526
-0.037807614157972;-0.071657779815186
-0.049096234088163;-0.028043847162241
-0.074743366943366;0.006546513217685
0.061900687197311;-0.025349643319582
0.084635244371126;0.044024095028994
0.109556071125067;0.014355683161628
0.091210225919425;0.033231194859297
