# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; GDP257
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
GDP257;MSONDQ
0.005094300943009;0.017693278966713
0.001978269782698;0.003828182176433
-0.002193521935219;-0.005669891668878
0.005647806478065;-0.009264844258932
-0.003382533825338;0.009618709838267
-0.004387043870439;-0.010093211410556
-0.000635506355064;-0.004511786136512
-0.002009020090201;0.002050811880233
0.002316523165232;-0.001359165520625
0.003813038130381;0.020990662774145
0.005483804838048;-0.002074939078824
0.003618286182862;0.010294271398815
0.005217302173022;-0.001704988700429
0.001435014350144;-0.003997072566569
-0.000871258712587;0.015763103079434
0.002070520705207;0.006988845191852
0.008353833538335;0.009345268254236
0.004889298892989;0.005179305297529
0.006180811808118;0.005887036456197
0.00759532595326;0.017033802205226
-0.000553505535055;0.022116598708389
0.003310783107831;-0.009892151422298
0.001537515375154;0.013229747227384
0.009645346453465;0.008404307509188
0.006180811808118;0.008943148277721
0.006139811398114;0.009409607450479
0.005237802378024;0.029403012682863
0.008958589585896;0.020443779606085
-0.003228782287823;0.017862169356849
-8.20008200081851e-05;0.001865836691034
-0.00740057400574;-0.019012232489686
-0.005586305863059;-0.053007455304365
0.005934809348093;0.020282931615478
0.002337023370234;0.015570085490706
0.007472324723247;0.000812282352564
0.006016810168102;0.135956764060125
-0.001312013120131;-0.106875447358475
0.003679786797868;0.035965610699609
0.006242312423124;0.017315286188788
0.008261582615826;0.044329706211144
0.00119926199262;0.007801127544413
0.004561295612956;-0.003498443795691
-0.006918819188192;-0.054961758390233
-0.0010045100451;-0.010599882580966
-0.005934809348093;-0.064580468228502
0.004633046330463;0.014942778327343
0.000194751947519;-0.002670076644068
0.006027060270603;0.034759250770061
0.011213612136121;0.004165962956706
0.005412054120541;-0.010889408964058
0.008015580155802;0.010101253810088
0.013263632636326;0.018594027714107
0.005535055350554;0.017065971803349
0.003433784337843;0.042841862298034
0.01480114801148;0.015377067901981
0.014216892168922;0.041345975985394
0.002993029930299;0.028542475933119
-0.001035260352604;0.02332295863794
-0.003526035260353;0.044900716577798
-0.008179581795818;0.01314932323208
-0.004868798687987;-0.041788307959563
-0.005873308733087;0.038909128927708
-0.018573185731857;-0.140733949381137
-0.018993439934399;-0.056337008709919
-0.004059040590406;-0.029419097481926
0.007185321853219;0.015964163067694
0.005463304633046;-0.02261522747927
0.012453874538745;0.019591285255869
0.005289052890529;0.022969093058605
0.003290282902829;0.044619232594236
0.016451414514145;-0.003763842980192
0.012177121771218;-0.000772070354911
0.019454694546946;0.038048592177962
0.004827798277983;0.011026129756074
0.006857318573186;0.020588542797628
0.00309553095531;0.020049702029097
0.027849528495285;0.047932701200731
0.011746617466175;0.033938926017968
0.008927839278393;0.030335931028381
0.00340303403034;0.074167008468647
-0.003433784337843;-0.066985145688067
0.007810578105781;-0.0016969463009
-0.004089790897909;0.004865651715847
-0.006160311603116;0.002396635060036
-0.037341123411234;-0.095784978406157
0.003833538335383;0.015618339887891
0.01570315703157;-0.000522755969472
0.002993029930299;0.0104229497913
0.002736777367774;-0.013245832026443
4.10004100040995e-05;-0.026885741629872
-0.00149651496515;-0.063856652270772
-0.012740877408774;0.021223892360526
-0.014011890118901;-0.071657779815186
-0.010834358343583;-0.028043847162241
-0.000645756457565;0.006546513217685
0.008323083230832;-0.025349643319582
0.014852398523985;0.044024095028994
0.023913489134891;0.014355683161628
0.024825748257483;0.033231194859297
0.014083640836408;0.056111821523071
