# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; HHSNTN
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
HHSNTN;MSONDQ
0.023890784982935;0.017693278966713
-0.00910125142207;0.003828182176433
0.003412969283277;-0.005669891668878
0.104095563139936;-0.009264844258932
-0.065415244596138;0.009618709838267
-0.033560864618884;-0.010093211410556
-0.053469852104665;-0.004511786136512
0.018202502844142;0.002050811880233
0.045506257110353;-0.001359165520625
0.008532423208191;0.020990662774145
-0.009101251422072;-0.002074939078824
0.071103526734926;0.010294271398815
-0.084755403868032;-0.001704988700429
-0.043799772468713;-0.003997072566569
0.072810011376563;0.015763103079434
0.009670079635951;0.006988845191852
-0.070534698521046;0.009345268254236
0.027303754266211;0.005179305297529
0.010238907849829;0.005887036456197
0.027872582480091;0.017033802205226
-0.021615472127418;0.022116598708389
0.025597269624573;-0.009892151422298
0.032992036405012;0.013229747227384
0.030716723549488;0.008404307509188
0.013651877133106;0.008943148277721
0.015358361774744;0.009409607450479
0.027303754266211;0.029403012682863
-0.098976109215017;0.020443779606085
-0.077360637087605;0.017862169356849
-0.078498293515358;0.001865836691034
-0.004550625711034;-0.019012232489686
0.07679180887372;-0.053007455304365
-0.013651877133106;0.020282931615478
0.003412969283277;0.015570085490706
-0.049488054607508;0.000812282352564
0.025028441410693;0.135956764060125
-0.052332195676904;-0.106875447358475
-0.008532423208191;0.035965610699609
0.037542662116041;0.017315286188788
0.076222980659839;0.044329706211144
-0.088168373151307;0.007801127544413
-0.085893060295791;-0.003498443795691
-0.109215017064846;-0.054961758390233
-0.071672354948805;-0.010599882580966
-0.060295790671217;-0.064580468228502
0.042662116040955;0.014942778327343
-0.040955631399317;-0.002670076644068
0.052901023890785;0.034759250770061
0.013083048919227;0.004165962956706
0.031285551763367;-0.010889408964058
0.014789533560865;0.010101253810088
0.16268486916951;0.018594027714107
-0.072241183162684;0.017065971803349
0.097838452787257;0.042841862298034
-0.056313993174061;0.015377067901981
-0.21103526734926;0.041345975985394
-0.114903299203639;0.028542475933119
-0.060864618885097;0.02332295863794
0.012514220705348;0.044900716577798
-0.199658703071671;0.01314932323208
0.147326507394766;-0.041788307959563
-0.068259385665529;0.038909128927708
-0.099544937428895;-0.140733949381137
0.009670079635949;-0.056337008709919
0.262229806598407;-0.029419097481926
0.04778156996587;0.015964163067694
0.013083048919227;-0.02261522747927
0.144482366325368;0.019591285255869
0.01080773606371;0.022969093058605
0.07679180887372;0.044619232594236
0.013651877133106;-0.003763842980192
-0.022753128555177;-0.000772070354911
-0.015358361774744;0.038048592177962
-0.039817974971558;0.011026129756074
-0.078498293515358;0.020588542797628
-0.040386803185438;0.020049702029097
-0.058020477815699;0.047932701200731
-0.019340159271899;0.033938926017968
-0.116609783845277;0.030335931028381
-0.079635949943117;0.074167008468647
-0.083617747440273;-0.066985145688067
-0.071103526734926;-0.0016969463009
0.033560864618885;0.004865651715847
0.001706484641638;0.002396635060036
-0.060295790671217;-0.095784978406157
0.213310580204777;0.015618339887891
0.139931740614334;-0.000522755969472
-0.084186575654153;0.0104229497913
0.122298065984073;-0.013245832026443
-0.03811149032992;-0.026885741629872
-0.175767918088736;-0.063856652270772
0.004550625711034;0.021223892360526
0.048350398179751;-0.071657779815186
0.012514220705346;-0.028043847162241
0.135949943117178;0.006546513217685
0.045506257110351;-0.025349643319582
0.29692832764505;0.044024095028994
-0.025028441410693;0.014355683161628
-0.000568828213881;0.033231194859297
