# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; PMNO
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
PMNO;MSONDQ
-0.064973861090366;0.017693278966713
-0.310679611650486;0.003828182176433
0.0336071695295;-0.005669891668878
0.046303211351756;-0.009264844258932
-0.172516803584765;0.009618709838267
0.035847647498133;-0.010093211410556
-0.044809559372666;-0.004511786136512
0.039581777445856;0.002050811880233
0.339058999253173;-0.001359165520625
0.002987303958177;0.020990662774145
0.073935772964899;-0.002074939078824
-0.190440627333831;0.010294271398815
-0.133681852128453;-0.001704988700429
-0.032113517550412;-0.003997072566569
0.089619118745332;0.015763103079434
0.057505601194922;0.006988845191852
0.07916355489171;0.009345268254236
-0.056011949215833;0.005179305297529
0.032860343539956;0.005887036456197
-0.011202389843167;0.017033802205226
0.02539208364451;0.022116598708389
0.097087378640778;-0.009892151422298
-0.128454070201645;0.013229747227384
0.076176250933533;0.008404307509188
-0.125466766243466;0.008943148277721
-0.008961911874533;0.009409607450479
0.079163554891712;0.029403012682863
0.075429424943987;0.020443779606085
-0.179238237490665;0.017862169356849
-0.060492905153099;0.001865836691034
-0.131441374159819;-0.019012232489686
-0.079163554891712;-0.053007455304365
0.068707991038089;0.020282931615478
0.188946975354742;0.015570085490706
0.008215085884989;0.000812282352564
0.00149365197909;0.135956764060125
0.019417475728154;-0.106875447358475
-0.08439133681852;0.035965610699609
0.095593726661687;0.017315286188788
-0.036594473487677;0.044329706211144
-0.051530993278566;0.007801127544413
-0.097087378640776;-0.003498443795691
-0.008961911874533;-0.054961758390233
-0.102315160567589;-0.010599882580966
0.055265123226289;-0.064580468228502
0.03211351755041;0.014942778327343
-0.069454817027633;-0.002670076644068
0.262882748319641;0.034759250770061
0.000746825989546;0.004165962956706
0.0201643017177;-0.010889408964058
0.023151605675877;0.010101253810088
0.112770724421209;0.018594027714107
-0.02539208364451;0.017065971803349
0.053024645257656;0.042841862298034
0.123973114264376;0.015377067901981
-0.030619865571323;0.041345975985394
-0.158327109783419;0.028542475933119
-0.165048543689321;0.02332295863794
0.159073935772965;0.044900716577798
-0.148618371919342;0.01314932323208
-0.073188946975356;-0.041788307959563
-0.118745332337565;0.038909128927708
-0.347274085138163;-0.140733949381137
0.091859596713966;-0.056337008709919
0.260642270351008;-0.029419097481926
0.256908140403287;0.015964163067694
0.077669902912622;-0.02261522747927
0.034353995519043;0.019591285255869
-0.044809559372666;0.022969093058605
-0.127707244212099;0.044619232594236
0.004480955937267;-0.003763842980192
0.044062733383123;-0.000772070354911
0.0403286034354;0.038048592177962
-0.061239731142645;0.011026129756074
0.017176997759523;0.020588542797628
-0.0268857356236;0.020049702029097
0.106796116504855;0.047932701200731
-0.002987303958179;0.033938926017968
-0.050037341299477;0.030335931028381
-0.059746079163556;0.074167008468647
-0.119492158327109;-0.066985145688067
-0.083644510828976;-0.0016969463009
-0.054518297236745;0.004865651715847
0.032860343539956;0.002396635060036
-0.453323375653472;-0.095784978406157
0.465272591486183;0.015618339887891
0.269604182225543;-0.000522755969472
-0.225541448842421;0.0104229497913
0.073188946975356;-0.013245832026443
-0.170276325616132;-0.026885741629872
-0.185959671396565;-0.063856652270772
0.05078416728902;0.021223892360526
0.015683345780433;-0.071657779815186
0.00149365197909;-0.028043847162241
0.061239731142643;0.006546513217685
0.315907393577297;-0.025349643319582
0.088125466766245;0.044024095028994
0.162808065720686;0.014355683161628
0.061239731142646;0.033231194859297
