# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; PCEPILFE
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
PCEPILFE;MSONDQ
0.000867093790645;0.017693278966713
0.00131440407947;0.003828182176433
0.00122838287008;-0.005669891668878
0.000543654043341;-0.009264844258932
0.00087053463902;0.009618709838267
0.000873975487397;-0.010093211410556
0.000812040216636;-0.004511786136512
0.000306235505426;0.002050811880233
0.000674406281613;-0.001359165520625
0.000959996696786;0.020990662774145
0.000416342653444;-0.002074939078824
0.000818921913387;0.010294271398815
0.000829244458514;-0.001704988700429
0.000633116101106;-0.003997072566569
0.000313117202177;0.015763103079434
0.00068472882674;0.006988845191852
0.000787954278006;0.009345268254236
0.000880857184147;0.005179305297529
0.001015050270795;0.005887036456197
0.000953115000034;0.017033802205226
0.00062967525273;0.022116598708389
0.000677847129989;-0.009892151422298
0.000619352707604;0.013229747227384
0.00087053463902;0.008404307509188
0.000698492220242;0.008943148277721
0.000626234404354;0.009409607450479
0.000650320342984;0.029403012682863
0.001145802509067;0.020443779606085
0.001785800306924;0.017862169356849
0.00188214406144;0.001865836691034
0.002019777996462;-0.019012232489686
0.001107953176936;-0.053007455304365
0.001555263465759;0.020282931615478
0.002209024657119;0.015570085490706
0.002473969982039;0.000812282352564
0.002821495667972;0.135956764060125
0.002897194332235;-0.106875447358475
0.002780205487465;0.035965610699609
0.003038269115634;0.017315286188788
0.002879990090357;0.044329706211144
0.003175903050655;0.007801127544413
0.003065795902638;-0.003498443795691
0.003048591660761;-0.054961758390233
0.002890312635483;-0.010599882580966
0.00283869990985;-0.064580468228502
0.003089881841266;0.014942778327343
0.004053319386428;-0.002670076644068
0.00353031043334;0.034759250770061
0.003337622924308;0.004165962956706
0.002711388519954;-0.010889408964058
0.0016481663719;0.010101253810088
0.002983215541624;0.018594027714107
0.002023218844838;0.017065971803349
0.002274400776256;0.042841862298034
0.001892466606566;0.015377067901981
0.00212300344773;0.041345975985394
0.003987943267292;0.028542475933119
0.003870954422522;0.02332295863794
0.003767728971255;0.044900716577798
0.005322992437016;0.01314932323208
0.007796962419054;-0.041788307959563
0.009338462491312;0.038909128927708
0.008240831859503;-0.140733949381137
0.006699331787245;-0.056337008709919
0.005718690000207;-0.029419097481926
0.005536325036301;0.015964163067694
0.005997398718628;-0.02261522747927
0.005718690000207;0.019591285255869
0.00457288749114;0.022969093058605
0.006069656534515;0.044619232594236
0.006193527076036;-0.003763842980192
0.006516966823341;-0.000772070354911
0.005918259205989;0.038048592177962
0.006826643177141;0.011026129756074
0.006190086227661;0.020588542797628
0.006854169964146;0.020049702029097
0.007205136498455;0.047932701200731
0.007095029350436;0.033938926017968
0.007810725812557;0.030335931028381
0.005639550487568;0.074167008468647
0.009720396661001;-0.066985145688067
0.008347498159147;-0.0016969463009
0.00975136429638;0.004865651715847
0.011719529567211;0.002396635060036
0.010900607653823;-0.095784978406157
0.011320391155643;0.015618339887891
0.012796515108766;-0.000522755969472
0.01157157308706;0.0104229497913
0.010122975920943;-0.013245832026443
0.010339749368604;-0.026885741629872
0.010171147798202;-0.063856652270772
0.008564271606807;0.021223892360526
0.007972445686209;-0.071657779815186
0.009458892184457;-0.028043847162241
0.008653733664572;0.006546513217685
0.008505777184423;-0.025349643319582
0.004676112942407;0.044024095028994
0.009975019440794;0.014355683161628
0.00493761741895;0.033231194859297
0.00627610743705;0.056111821523071
0.007642124242153;0.009176377864099
0.006117828411774;-0.014572827948947
