# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; CCINRV
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
CCINRV;MSONDQ
0.000998855522;0.017693278966713
0.001270765965794;0.003828182176433
0.00130488355021;-0.005669891668878
0.000872087780696;-0.009264844258932
0.001029460466675;0.009618709838267
0.000644488002129;-0.010093211410556
0.000528994977653;-0.004511786136512
0.000408907677418;0.002050811880233
-0.000181442835622;-0.001359165520625
0.000280205842402;0.020990662774145
0.000697492450716;-0.002074939078824
0.0006204264199;0.010294271398815
0.00118951046953;-0.001704988700429
0.000942471228589;-0.003997072566569
0.001026391190608;0.015763103079434
0.001137092888802;0.006988845191852
0.001264918705736;0.009345268254236
0.001381504075497;0.005179305297529
0.001464800758148;0.005887036456197
0.001657083514338;0.017033802205226
0.001527754116246;0.022116598708389
0.001503294149266;-0.009892151422298
0.001337429014156;0.013229747227384
0.00188845509692;0.008404307509188
0.001823291346008;0.008943148277721
0.001573154984905;0.009409607450479
0.001297172877606;0.029403012682863
0.001514493901222;0.020443779606085
0.000998902642777;0.017862169356849
0.000732813756799;0.001865836691034
0.000612163149094;-0.019012232489686
0.000667123109927;-0.053007455304365
0.00053222917644;0.020282931615478
0.000892253331407;0.015570085490706
0.00099292044595;0.000812282352564
0.000154556148625;0.135956764060125
0.001522943513284;-0.106875447358475
0.001502810090375;0.035965610699609
0.00201359931327;0.017315286188788
0.001845313883704;0.044329706211144
0.001770006314613;0.007801127544413
0.001114427795055;-0.003498443795691
0.000950447491027;-0.054961758390233
0.000754103780598;-0.010599882580966
0.000165415345875;-0.064580468228502
0.000770596052556;0.014942778327343
0.000325411802392;-0.002670076644068
0.000936889558366;0.034759250770061
0.001633527409535;0.004165962956706
0.001925462041708;-0.010889408964058
0.002543815147419;0.010101253810088
0.002422007938823;0.018594027714107
0.002987350170387;0.017065971803349
0.002675410626515;0.042841862298034
0.003206590294739;0.015377067901981
0.004694621595957;0.041345975985394
0.003821302249499;0.028542475933119
0.003345789353763;0.02332295863794
0.002838748374494;0.044900716577798
0.00217967863373;0.01314932323208
0.001795108837643;-0.041788307959563
0.001448214244636;0.038909128927708
-0.000200991532525;-0.140733949381137
0.000138642177114;-0.056337008709919
-0.001043339677361;-0.029419097481926
-9.84824239711746e-05;0.015964163067694
0.001979800865026;-0.02261522747927
0.003331031983142;0.019591285255869
0.002825661649604;0.022969093058605
0.002567718232489;0.044619232594236
0.003598163951774;-0.003763842980192
-0.005366992246961;-0.000772070354911
0.005289028779528;0.038048592177962
0.004751295039592;0.011026129756074
0.004843287647455;0.020588542797628
0.005051475807743;0.020049702029097
0.007022066702716;0.047932701200731
0.00642935158341;0.033938926017968
0.004753950937933;0.030335931028381
0.006510484994024;0.074167008468647
0.005593793114173;-0.066985145688067
0.005304835658365;-0.0016969463009
0.005095640826932;0.004865651715847
0.003645070543444;0.002396635060036
-0.002067809625378;-0.095784978406157
-0.001066236091285;0.015618339887891
0.001676086038597;-0.000522755969472
0.002049239755525;0.0104229497913
0.0026040654864;-0.013245832026443
0.002444861515677;-0.026885741629872
0.002209536071533;-0.063856652270772
0.002770380410745;0.021223892360526
0.001784056873578;-0.071657779815186
0.000623172276088;-0.028043847162241
0.001878169916408;0.006546513217685
0.003127127529856;-0.025349643319582
0.003618790000988;0.044024095028994
0.0059920921912;0.014355683161628
0.007767046187401;0.033231194859297
0.010214499345813;0.056111821523071
0.010103379986187;0.009176377864099
0.010222981085677;-0.014572827948947
