# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; PMP
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
PMP;MSONDQ
0.000775193798451;0.017693278966713
-0.303875968992249;0.003828182176433
-0.070542635658914;-0.005669891668878
0.146511627906977;-0.009264844258932
-0.306976744186046;0.009618709838267
0.040310077519379;-0.010093211410556
-0.032558139534884;-0.004511786136512
0.05891472868217;0.002050811880233
0.323255813953489;-0.001359165520625
0.045736434108528;0.020990662774145
-0.068217054263565;-0.002074939078824
0.056589147286821;0.010294271398815
-0.236434108527133;-0.001704988700429
-0.061240310077519;-0.003997072566569
0.113178294573644;0.015763103079434
-0.028682170542637;0.006988845191852
0.089147286821707;0.009345268254236
-0.012403100775196;0.005179305297529
0.059689922480621;0.005887036456197
0.027906976744186;0.017033802205226
-0.06201550387597;0.022116598708389
0.068217054263568;-0.009892151422298
-0.03953488372093;0.013229747227384
-0.028682170542637;0.008404307509188
-0.009302325581395;0.008943148277721
-0.024031007751937;0.009409607450479
0.049612403100775;0.029403012682863
0.096899224806202;0.020443779606085
-0.171317829457365;0.017862169356849
-0.010077519379844;0.001865836691034
-0.074418604651163;-0.019012232489686
-0.093798449612402;-0.053007455304365
-0.079069767441861;0.020282931615478
0.187596899224805;0.015570085490706
0.06046511627907;0.000812282352564
-0.013953488372093;0.135956764060125
0.013953488372093;-0.106875447358475
-0.041860465116279;0.035965610699609
0.092248062015505;0.017315286188788
-0.050387596899226;0.044329706211144
-0.051937984496123;0.007801127544413
-0.063565891472867;-0.003498443795691
-0.041860465116279;-0.054961758390233
-0.103875968992249;-0.010599882580966
-0.006976744186047;-0.064580468228502
0.068992248062016;0.014942778327343
-0.154263565891474;-0.002670076644068
0.275193798449614;0.034759250770061
0.058139534883721;0.004165962956706
-0.005426356589149;-0.010889408964058
0.070542635658916;0.010101253810088
0.124031007751937;0.018594027714107
-0.048837209302325;0.017065971803349
0.048837209302325;0.042841862298034
0.113178294573644;0.015377067901981
-0.031782945736435;0.041345975985394
-0.153488372093023;0.028542475933119
-0.154263565891472;0.02332295863794
0.068217054263565;0.044900716577798
-0.116279069767442;0.01314932323208
-0.03798449612403;-0.041788307959563
-0.066666666666668;0.038909128927708
-0.227131782945737;-0.140733949381137
-0.082170542635658;-0.056337008709919
0.318604651162791;-0.029419097481926
0.233333333333332;0.015964163067694
0.04263565891473;-0.02261522747927
0.069767441860465;0.019591285255869
-0.066666666666668;0.022969093058605
-0.172868217054263;0.044619232594236
0.056589147286821;-0.003763842980192
0.000775193798449;-0.000772070354911
0.112403100775195;0.038048592177962
-0.118604651162791;0.011026129756074
0.085271317829456;0.020588542797628
-0.086046511627907;0.020049702029097
0.116279069767442;0.047932701200731
0.082945736434109;0.033938926017968
-0.087596899224807;0.030335931028381
-0.065891472868216;0.074167008468647
-0.134883720930232;-0.066985145688067
-0.086046511627907;-0.0016969463009
0.024031007751937;0.004865651715847
-0.012403100775193;0.002396635060036
-0.393023255813953;-0.095784978406157
0.306976744186047;0.015618339887891
0.368992248062016;-0.000522755969472
-0.226356589147288;0.0104229497913
0.096124031007754;-0.013245832026443
-0.209302325581395;-0.026885741629872
-0.217829457364342;-0.063856652270772
0.033333333333333;0.021223892360526
0.006201550387598;-0.071657779815186
0.034108527131784;-0.028043847162241
0.048837209302326;0.006546513217685
0.323255813953488;-0.025349643319582
0.097674418604651;0.044024095028994
0.203875968992247;0.014355683161628
0.090697674418604;0.033231194859297
