# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; FYFF
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
FYFF;MSONDQ
0.029718255499807;0.017693278966713
0.028560401389425;0.003828182176433
0.023928984947896;-0.005669891668878
-0.003280586646083;-0.009264844258932
-0.013701273639521;0.009618709838267
-0.04399845619452;-0.010093211410556
-0.037051331532227;-0.004511786136512
-0.016981860285604;0.002050811880233
-0.015631030490158;-0.001359165520625
-0.002894635275955;0.020990662774145
0.041489772288692;-0.002074939078824
0.003280586646083;0.010294271398815
0.008683905827866;-0.001704988700429
0.013894249324585;-0.003997072566569
0.004438440756464;0.015763103079434
0.002508683905828;0.006988845191852
-0.000192975685064;0.009345268254236
0.021227325357005;0.005179305297529
0.007140100347356;0.005887036456197
0.000578927055191;0.017033802205226
0.00154380548051;0.022116598708389
-0.001929756850637;-0.009892151422298
0.006947124662293;0.013229747227384
0.022964106522578;0.008404307509188
0.005982246236975;0.008943148277721
-0.000192975685064;0.009409607450479
0.005403319181783;0.029403012682863
0.022578155152451;0.020443779606085
0.020648398301814;0.017862169356849
0.028753377074489;0.001865836691034
0.008876881512929;-0.019012232489686
-0.042840602084137;-0.053007455304365
-0.04824392126592;0.020282931615478
-0.005596294866847;0.015570085490706
0.016209957545349;0.000812282352564
0.035507526051718;0.135956764060125
0.069085295252798;-0.106875447358475
-0.002122732535701;0.035965610699609
-0.001543805480509;0.017315286188788
0.037630258587418;0.044329706211144
0.101891161713624;0.007801127544413
0.038016209957545;-0.003498443795691
-0.002508683905828;-0.054961758390233
-0.021227325357005;-0.010599882580966
-0.040138942493246;-0.064580468228502
-0.06812041682748;0.014942778327343
-0.065804708606715;-0.002670076644068
-0.098996526437669;0.034759250770061
0.0409108452335;0.004165962956706
0.052682362022385;-0.010889408964058
-0.041875723658819;0.010101253810088
-0.070050173678117;0.018594027714107
0.04399845619452;0.017065971803349
0.025472790428406;0.042841862298034
0.023350057892705;0.015377067901981
0.080663836356619;0.041345975985394
0.074102663064454;0.028542475933119
0.15881898880741;0.02332295863794
-0.032612890775762;0.044900716577798
-0.038981088382864;0.01314932323208
0.111539945966808;-0.041788307959563
0.048629872636048;0.038909128927708
-0.15881898880741;-0.140733949381137
-0.176186800463142;-0.056337008709919
-0.051138556541876;-0.029419097481926
0.042840602084137;0.015964163067694
-0.043226553454265;-0.02261522747927
-0.033963720571208;0.019591285255869
0.021420301042069;0.022969093058605
0.005017367811655;0.044619232594236
-0.023736009262833;-0.003763842980192
-0.012350443844076;-0.000772070354911
0.028753377074489;0.038048592177962
0.038402161327673;0.011026129756074
0.040138942493246;0.020588542797628
0.014087225009649;0.020049702029097
0.030490158240061;0.047932701200731
0.047279042840602;0.033938926017968
0.085874179853338;0.030335931028381
0.02836742570436;0.074167008468647
0.00617522192204;-0.066985145688067
0.044384407564649;-0.0016969463009
0.152257815515245;0.004865651715847
0.085102277113084;0.002396635060036
-0.136626785025087;-0.095784978406157
-0.16499421072945;0.015618339887891
0.348321111539944;-0.000522755969472
0.041489772288694;0.0104229497913
0.070050173678117;-0.013245832026443
-0.011771516788883;-0.026885741629872
-0.230991895021227;-0.063856652270772
0.037051331532227;0.021223892360526
0.016595908915473;-0.071657779815186
-0.20301042068699;-0.028043847162241
-0.099575453492862;0.006546513217685
-0.0366653801621;-0.025349643319582
0.008683905827866;0.044024095028994
0.038016209957546;0.014355683161628
-0.001736781165573;0.033231194859297
0.014859127749904;0.056111821523071
