# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; sFYAAAC
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
sFYAAAC;MSONDQ
-0.016645326504481;0.017693278966713
-0.04865556978233;0.003828182176433
0.00640204865557;-0.005669891668878
0.030729833546735;-0.009264844258932
0.04865556978233;0.009618709838267
0.110115236875801;-0.010093211410556
-0.017925736235596;-0.004511786136512
0.019206145966709;0.002050811880233
0.003841229193342;-0.001359165520625
-0.014084507042253;0.020990662774145
-0.007682458386684;-0.002074939078824
-0.016645326504482;0.010294271398815
0.011523687580026;-0.001704988700429
-0.029449423815621;-0.003997072566569
0.002560819462228;0.015763103079434
-0.019206145966709;0.006988845191852
-0.017925736235595;0.009345268254236
-0.001280409731114;0.005179305297529
-0.015364916773368;0.005887036456197
-0.00640204865557;0.017033802205226
0.003841229193342;0.022116598708389
0.003841229193342;-0.009892151422298
0.015364916773368;0.013229747227384
-0.015364916773368;0.008404307509188
0.007682458386684;0.008943148277721
0.005121638924456;0.009409607450479
-0.042253521126761;0.029403012682863
-0.037131882202305;0.020443779606085
0.069142125480154;0.017862169356849
-0.016645326504481;0.001865836691034
0.076824583866838;-0.019012232489686
0.060179257362356;-0.053007455304365
-0.035851472471191;0.020282931615478
-0.028169014084507;0.015570085490706
0.005121638924456;0.000812282352564
0.051216389244559;0.135956764060125
-0.002560819462228;-0.106875447358475
0.040973111395647;0.035965610699609
-0.055057618437901;0.017315286188788
0.019206145966709;0.044329706211144
0.003841229193342;0.007801127544413
-0.125480153649168;-0.003498443795691
-0.014084507042254;-0.054961758390233
0.137003841229194;-0.010599882580966
-0.038412291933419;-0.064580468228502
0.128040973111396;0.014942778327343
0.112676056338027;-0.002670076644068
0.056338028169016;0.034759250770061
0.010243277848913;0.004165962956706
-0.058898847631245;-0.010889408964058
0.129321382842511;0.010101253810088
-0.080665813060179;0.018594027714107
-0.02560819462228;0.017065971803349
-0.083226632522406;0.042841862298034
-0.058898847631242;0.015377067901981
-0.056338028169014;0.041345975985394
-0.044814340588989;0.028542475933119
-0.046094750320103;0.02332295863794
0.198463508322664;0.044900716577798
-0.020486555697824;0.01314932323208
-0.008962868117798;-0.041788307959563
0.07810499359795;0.038909128927708
0.124199743918056;-0.140733949381137
-0.069142125480154;-0.056337008709919
-0.131882202304739;-0.029419097481926
-0.079385403329065;0.015964163067694
0.049935979513444;-0.02261522747927
0.021766965428937;0.019591285255869
-0.016645326504481;0.022969093058605
-0.010243277848912;0.044619232594236
0.099871959026889;-0.003763842980192
-0.120358514724712;-0.000772070354911
-0.014084507042254;0.038048592177962
-0.020486555697823;0.011026129756074
-0.032010243277849;0.020588542797628
-0.025608194622279;0.020049702029097
-0.034571062740077;0.047932701200731
-0.033290653008963;0.033938926017968
-0.021766965428937;0.030335931028381
-0.007682458386684;0.074167008468647
0.034571062740077;-0.066985145688067
-0.034571062740077;-0.0016969463009
-0.034571062740077;0.004865651715847
0.023047375160051;0.002396635060036
0.218950064020487;-0.095784978406157
-0.039692701664533;0.015618339887891
-0.083226632522407;-0.000522755969472
-0.078104993597952;0.0104229497913
0.011523687580026;-0.013245832026443
-0.06145966709347;-0.026885741629872
0.175416133162612;-0.063856652270772
0.071702944942382;0.021223892360526
-0.052496798975672;-0.071657779815186
0.021766965428938;-0.028043847162241
0.220230473751601;0.006546513217685
0.026888604353393;-0.025349643319582
-0.09731113956466;0.044024095028994
-0.119078104993599;0.014355683161628
