# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; FSPCOM
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
FSPCOM;MSONDQ
0.001383210644708;0.017693278966713
0.000848893489311;0.003828182176433
-0.000670787770845;-0.005669891668878
-0.001031625330334;-0.009264844258932
-0.000143409799284;0.009618709838267
-0.000242871434271;-0.010093211410556
-0.000268315108338;-0.004511786136512
0.004628435618831;0.002050811880233
0.002761795166858;-0.001359165520625
0.000587517564809;0.020990662774145
0.002389392300976;-0.002074939078824
-0.000286819598568;0.010294271398815
-0.005299223389676;-0.001704988700429
-0.003048614765427;-0.003997072566569
0.001239800845424;0.015763103079434
0.004117249076221;0.006988845191852
0.002858943740567;0.009345268254236
0.000899780837444;0.005179305297529
0.001600638404913;0.005887036456197
0.002965344559391;0.017033802205226
0.001910588616269;0.022116598708389
0.001787996368494;-0.009892151422298
0.001299940438672;0.013229747227384
0.001260618396933;0.008404307509188
0.000599082871203;0.008943148277721
-0.000349272253095;0.009409607450479
0.003351625792946;0.029403012682863
-8.7896328593514e-05;0.020443779606085
-0.002417149036321;0.017862169356849
-0.004658505415455;0.001865836691034
-0.001121834720206;-0.019012232489686
0.005037847465174;-0.053007455304365
0.003180459258317;0.020282931615478
0.00192678004522;0.015570085490706
7.17048996420368e-05;0.000812282352564
-0.00202161555765;0.135956764060125
0.004438764593971;-0.106875447358475
0.001313818806345;0.035965610699609
0.003675454371975;0.017315286188788
-0.002969970681948;0.044329706211144
0.000513499603888;0.007801127544413
-0.005000838484713;-0.003498443795691
-0.000129531431611;-0.054961758390233
-0.003867438458113;-0.010599882580966
-0.006596850767069;-0.064580468228502
-0.000319202456471;0.014942778327343
0.005199761754688;-0.002670076644068
0.007286143028144;0.034759250770061
0.003284547015862;0.004165962956706
-0.002026241680208;-0.010889408964058
-0.001480359218417;0.010101253810088
0.006242952391416;0.018594027714107
0.001905962493712;0.017065971803349
0.000726301241535;0.042841862298034
0.003353938854226;0.015377067901981
0.000668474709566;0.041345975985394
-0.005264527470494;0.028542475933119
-0.001619142895143;0.02332295863794
-0.001986919638468;0.044900716577798
-0.004545165412795;0.01314932323208
-0.003488096408394;-0.041788307959563
-0.010397210448098;0.038909128927708
-0.004330050713869;-0.140733949381137
0.006520519744869;-0.056337008709919
0.007119602616072;-0.029419097481926
-0.001006181656268;0.015964163067694
0.001033938391613;-0.02261522747927
0.007226003434896;0.019591285255869
0.001452602483071;0.022969093058605
0.001868953513251;0.044619232594236
-0.001202791864963;-0.003763842980192
-0.000555134706906;-0.000772070354911
-0.001905962493711;0.038048592177962
-0.00068004001596;0.011026129756074
-0.002849691495452;0.020588542797628
-0.003189711503432;0.020049702029097
0.004563669903025;0.047932701200731
0.003976152338216;0.033938926017968
-0.003138824155299;0.030335931028381
0.001538185750386;0.074167008468647
0.001267557580769;-0.066985145688067
0.003501974776066;-0.0016969463009
-0.000638404912942;0.004865651715847
0.003467278856885;0.002396635060036
-0.001316131867624;-0.095784978406157
0.010323192487177;0.015618339887891
0.006825843833668;-0.000522755969472
-0.001107956352534;0.0104229497913
0.000897467776165;-0.013245832026443
-0.004952264197859;-0.026885741629872
-0.002433340465273;-0.063856652270772
-0.005525903394995;0.021223892360526
-6.01395932484095e-05;-0.071657779815186
-0.000208383690605;-0.028043847162241
0.015883375450324;0.006546513217685
0.007589015271987;-0.025349643319582
0.010469031000804;0.044024095028994
0.001928838669758;0.014355683161628
0.000164042305891;0.033231194859297
