# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; PMI
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
PMI;MSONDQ
0.009598603839442;0.017693278966713
-0.301919720767888;0.003828182176433
-0.055846422338571;-0.005669891668878
0.027050610820246;-0.009264844258932
-0.255671902268762;0.009618709838267
0.038394415357767;-0.010093211410556
-0.018324607329843;-0.004511786136512
0.017452006980801;0.002050811880233
0.331588132635254;-0.001359165520625
0.063699825479929;0.020990662774145
0.030541012216406;-0.002074939078824
-0.024432809773123;0.010294271398815
-0.213787085514835;-0.001704988700429
-0.06631762652705;-0.003997072566569
0.102094240837696;0.015763103079434
0.024432809773123;0.006988845191852
0.092495636998254;0.009345268254236
-0.070680628272251;0.005179305297529
0.014834205933683;0.005887036456197
0.052356020942408;0.017033802205226
0.024432809773123;0.022116598708389
0.100349040139618;-0.009892151422298
-0.040139616055848;0.013229747227384
0.027050610820246;0.008404307509188
-0.052356020942408;0.008943148277721
-0.041884816753927;0.009409607450479
0.031413612565445;0.029403012682863
0.141361256544503;0.020443779606085
-0.140488656195463;0.017862169356849
-0.029668411867364;0.001865836691034
-0.123909249563702;-0.019012232489686
-0.18586387434555;-0.053007455304365
-0.06893542757417;0.020282931615478
0.196335078534031;0.015570085490706
0.063699825479929;0.000812282352564
0.013089005235602;0.135956764060125
0.012216404886563;-0.106875447358475
-0.071553228621291;0.035965610699609
0.099476439790576;0.017315286188788
-0.008726003490403;0.044329706211144
-0.013961605584641;0.007801127544413
-0.047120418848167;-0.003498443795691
-0.019197207678882;-0.054961758390233
-0.146596858638743;-0.010599882580966
0.00261780104712;-0.064580468228502
-0.020942408376963;0.014942778327343
-0.11692844677138;-0.002670076644068
0.230366492146597;0.034759250770061
0.075043630017453;0.004165962956706
0.005235602094241;-0.010889408964058
0.015706806282722;0.010101253810088
0.13176265270506;0.018594027714107
-0.00610820244328;0.017065971803349
0.06631762652705;0.042841862298034
0.178883071553228;0.015377067901981
0.034031413612565;0.041345975985394
-0.120418848167539;0.028542475933119
-0.117801047120419;0.02332295863794
0.121291448516581;0.044900716577798
-0.134380453752183;0.01314932323208
-0.106457242582895;-0.041788307959563
-0.143106457242584;0.038909128927708
-0.369982547993018;-0.140733949381137
-0.129144851657942;-0.056337008709919
0.23647469458988;-0.029419097481926
0.25479930191972;0.015964163067694
0.103839441535777;-0.02261522747927
0.120418848167539;0.019591285255869
-0.009598603839442;0.022969093058605
-0.118673647469458;0.044619232594236
-0.019197207678885;-0.003763842980192
0.055846422338571;-0.000772070354911
0.045375218150086;0.038048592177962
-0.06020942408377;0.011026129756074
0.041884816753927;0.020588542797628
-0.026178010471204;0.020049702029097
0.088132635253055;0.047932701200731
0.040139616055846;0.033938926017968
-0.019197207678882;0.030335931028381
-0.055846422338571;0.074167008468647
-0.096858638743456;-0.066985145688067
-0.112565445026178;-0.0016969463009
-0.07504363001745;0.004865651715847
-0.015706806282723;0.002396635060036
-0.37434554973822;-0.095784978406157
0.292321116928445;0.015618339887891
0.315008726003492;-0.000522755969472
-0.166666666666667;0.0104229497913
0.071553228621291;-0.013245832026443
-0.159685863874346;-0.026885741629872
-0.205933682373471;-0.063856652270772
-0.005235602094241;0.021223892360526
-0.014834205933683;-0.071657779815186
0.034031413612565;-0.028043847162241
0.051483420593369;0.006546513217685
0.287085514834204;-0.025349643319582
0.117801047120419;0.044024095028994
0.186736474694592;0.014355683161628
0.096858638743455;0.033231194859297
