# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; EXRSW
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
EXRSW;MSONDQ
0.000856018408625;0.017693278966713
-0.000785522774974;0.003828182176433
0.005448305400783;-0.005669891668878
-0.000201416096148;-0.009264844258932
-0.002296143496078;0.009618709838267
-0.004753419869073;-0.010093211410556
-0.000986938871122;-0.004511786136512
0.00270904649318;0.002050811880233
0.002648621664333;-0.001359165520625
-0.002487488787417;0.020990662774145
0.001198425772077;-0.002074939078824
0.002346497520113;0.010294271398815
0.000574035874019;-0.001704988700429
-0.002759400517215;-0.003997072566569
-0.000926514042278;0.015763103079434
0.002467347177804;0.006988845191852
-0.000110778852882;0.009345268254236
-0.002135010619158;0.005179305297529
-0.00080566438459;0.005887036456197
0.002014160961473;0.017033802205226
-0.001611328769179;0.022116598708389
0.001007080480738;-0.009892151422298
-0.001419983477838;0.013229747227384
0.004451295724852;0.008404307509188
0.0032830823672;0.008943148277721
-0.006666872782473;0.009409607450479
-0.000201416096148;0.029403012682863
0.004572145382543;0.020443779606085
-0.004129029971018;0.017862169356849
0.001158142552845;0.001865836691034
0.00080566438459;-0.019012232489686
0.001973877742241;-0.053007455304365
-0.004370729286392;0.020282931615478
0.004622499406578;0.015570085490706
-0.002320011303471;0.000812282352564
0.004595308233598;0.135956764060125
-0.005735726169984;-0.106875447358475
-0.006361828104857;0.035965610699609
-0.000857226905202;0.017315286188788
0.004358040072335;0.044329706211144
0.002321723340289;0.007801127544413
-0.004907603890675;-0.003498443795691
0.002621732615501;-0.054961758390233
-0.001593604152718;-0.010599882580966
0.000392257847249;-0.064580468228502
-0.001627139932726;0.014942778327343
0.005041646302659;-0.002670076644068
-0.005899074623958;0.034759250770061
-0.03877894311536;0.004165962956706
-0.041579130392048;-0.010889408964058
-0.024514957310362;0.010101253810088
-0.025964448246286;0.018594027714107
-0.008724942452902;0.017065971803349
-0.018605509757454;0.042841862298034
0.00301751524443;0.015377067901981
-0.101473127114807;0.041345975985394
-0.089708916479088;0.028542475933119
-0.065862257775743;0.02332295863794
0.058580965191975;0.044900716577798
0.022610265997144;0.01314932323208
-0.068950470069921;-0.041788307959563
0.001253815198516;0.038909128927708
-0.070378208067458;-0.140733949381137
-0.076904492414821;-0.056337008709919
0.008106393621635;-0.029419097481926
0.044146883493781;0.015964163067694
-0.005142857890976;-0.02261522747927
-0.021337014145351;0.019591285255869
-0.025301990706057;0.022969093058605
-0.004777891924754;0.044619232594236
-0.01027574568519;-0.003763842980192
0.022746121153996;-0.000772070354911
-0.002847217935137;0.038048592177962
-0.03444507297456;0.011026129756074
-0.064668665989977;0.020588542797628
-0.076498638981085;0.020049702029097
-0.003718745383163;0.047932701200731
-0.072129319607364;0.033938926017968
-0.015545395008689;0.030335931028381
0.014479501027878;0.074167008468647
0.011635606458328;-0.066985145688067
-0.022829507417804;-0.0016969463009
-0.004502958953513;0.004865651715847
0.012783275374172;0.002396635060036
0.005735726169984;-0.095784978406157
-0.015793539639141;0.015618339887891
0.027553923369032;-0.000522755969472
0.051670479641213;0.0104229497913
0.043193681818761;-0.013245832026443
0.017704474851337;-0.026885741629872
-0.081039766284818;-0.063856652270772
0.013917852243771;0.021223892360526
0.037020278471851;-0.071657779815186
0.036093764429576;-0.028043847162241
0.007633670043976;0.006546513217685
-0.037594314345871;-0.025349643319582
0.017724616460953;0.044024095028994
0.021722725969474;0.014355683161628
0.0036959853643;0.033231194859297
