# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; HSBR
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
HSBR;MSONDQ
-0.017399804496581;0.017693278966713
-0.041837732160311;0.003828182176433
-0.054349951124147;-0.005669891668878
-0.178885630498533;-0.009264844258932
-0.021309872922774;0.009618709838267
-0.009579667644186;-0.010093211410556
-0.014662756598241;-0.004511786136512
0.005474095796677;0.002050811880233
0.033040078201368;-0.001359165520625
0.047116324535677;0.020990662774145
0.018768328445748;-0.002074939078824
0.00273704789834;0.010294271398815
0.0158357771261;-0.001704988700429
0.0158357771261;-0.003997072566569
0.008015640273707;0.015763103079434
0.012707722385138;0.006988845191852
0.05180840664712;0.009345268254236
0.0119257086999;0.005179305297529
0.029325513196481;0.005887036456197
-0.027956989247314;0.017033802205226
-0.040664711632452;0.022116598708389
0.006256109481918;-0.009892151422298
-0.044379276637343;0.013229747227384
0.002346041055718;0.008404307509188
-0.009775171065496;0.008943148277721
0.020136852394921;0.009409607450479
0.036559139784944;0.029403012682863
-0.035581622678399;0.020443779606085
-0.105376344086017;0.017862169356849
-0.116520039100686;0.001865836691034
-0.071358748778104;-0.019012232489686
0.124926686217009;-0.053007455304365
0.082697947214074;0.020282931615478
0.079178885630498;0.015570085490706
0.040469208211144;0.000812282352564
-0.000195503421308;0.135956764060125
-0.001564027370481;-0.106875447358475
0.055131964809384;0.035965610699609
0.0158357771261;0.017315286188788
0.028543499511243;0.044329706211144
-0.053567937438903;0.007801127544413
-0.050830889540569;-0.003498443795691
-0.057869012707724;-0.054961758390233
-0.048875855327466;-0.010599882580966
0.109872922776146;-0.064580468228502
0.052785923753666;0.014942778327343
0.134701857282504;-0.002670076644068
0.030694037145648;0.034759250770061
0.12316715542522;0.004165962956706
0.087781036168135;-0.010889408964058
0.033040078201367;0.010101253810088
0.053567937438909;0.018594027714107
-0.024046920821114;0.017065971803349
0.090322580645161;0.042841862298034
0.03049853372434;0.015377067901981
-0.087585532746827;0.041345975985394
-0.130791788856305;0.028542475933119
-0.109090909090909;0.02332295863794
-0.240664711632451;0.044900716577798
0.005865102639296;0.01314932323208
-0.127663734115349;-0.041788307959563
-0.140566959921796;0.038909128927708
-0.055327468230694;-0.140733949381137
-0.06099706744868;-0.056337008709919
0.109872922776149;-0.029419097481926
0.068817204301075;0.015964163067694
0.042815249266862;-0.02261522747927
0.049266862170088;0.019591285255869
-0.006842619745847;0.022969093058605
0.101857282502446;0.044619232594236
0.084457478005865;-0.003763842980192
0.042815249266862;-0.000772070354911
0.077028347996088;0.038048592177962
0.011925708699906;0.011026129756074
0.027761485826;0.020588542797628
-0.001564027370481;0.020049702029097
0.082502443792768;0.047932701200731
-0.091691104594328;0.033938926017968
0.032453567937437;0.030335931028381
-0.140957966764416;0.074167008468647
0.048484848484845;-0.066985145688067
-0.030889540566956;-0.0016969463009
-0.147018572825026;0.004865651715847
-0.106353861192569;0.002396635060036
-0.132942326490715;-0.095784978406157
0.258651026392961;0.015618339887891
-0.021896383186704;-0.000522755969472
-0.077223851417402;0.0104229497913
-0.051612903225806;-0.013245832026443
-0.130596285434995;-0.026885741629872
-0.07741935483871;-0.063856652270772
0.042619745845552;0.021223892360526
0.051026392961877;-0.071657779815186
0.050439882697947;-0.028043847162241
0.140175953079179;0.006546513217685
0.125708699902246;-0.025349643319582
0.123558162267841;0.044024095028994
0.017399804496581;0.014355683161628
-0.016031280547413;0.033231194859297
0.101075268817208;0.056111821523071
