# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; GDP276_5
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
GDP276_5;MSONDQ
0.001509032000355;0.017693278966713
0.001162842306156;0.003828182176433
0.000674626070747;-0.005669891668878
0.000949802494341;-0.009264844258932
0.00028405308242;0.009618709838267
0.000665749411921;-0.010093211410556
0.001189472282633;-0.004511786136512
0.001065199059074;0.002050811880233
0.001313745506191;-0.001359165520625
0.000798899294306;0.020990662774145
0.000639119435445;-0.002074939078824
0.000914295859039;0.010294271398815
0.001020815764946;-0.001704988700429
-0.000328436376548;-0.003997072566569
-0.000159779858861;0.015763103079434
0.000417202964804;0.006988845191852
0.000390572988327;0.009345268254236
0.000257423105943;0.005179305297529
0.00036394301185;0.005887036456197
0.000967555811992;0.017033802205226
0.000292929741245;0.022116598708389
0.000719009364875;-0.009892151422298
0.000869912564911;0.013229747227384
0.00079002263548;0.008404307509188
0.001109582353202;0.008943148277721
0.001109582353202;0.009409607450479
0.001331498823843;0.029403012682863
0.000266299764769;0.020443779606085
0.000585859482491;0.017862169356849
0.001952864941636;0.001865836691034
0.001748701788647;-0.019012232489686
0.001269362212063;-0.053007455304365
0.001482402023878;0.020282931615478
0.001526785318006;0.015570085490706
0.00135812880032;0.000812282352564
0.002094891482846;0.135956764060125
0.001810838400426;-0.106875447358475
0.001517908659181;0.035965610699609
0.002414451200568;0.017315286188788
0.003399760330212;0.044329706211144
0.003115707247792;0.007801127544413
0.002627491012383;-0.003498443795691
0.003248857130176;-0.054961758390233
0.005858594824908;-0.010599882580966
0.002378944565266;-0.064580468228502
0.003470773600817;0.014942778327343
0.003630553459678;-0.002670076644068
0.004101016377436;0.034759250770061
0.004713505836403;0.004165962956706
0.004482712706937;-0.010889408964058
0.001198348941458;0.010101253810088
0.001500155341529;0.018594027714107
0.000958679153167;0.017065971803349
0.001881851671031;0.042841862298034
0.001890728329857;0.015377067901981
0.001952864941636;0.041345975985394
0.002538724424127;0.028542475933119
0.00251209444765;0.02332295863794
0.002973680706582;0.044900716577798
0.002920420753628;0.01314932323208
0.005610048377791;-0.041788307959563
0.00668412409569;0.038909128927708
0.006719630730993;-0.140733949381137
0.005885224801385;-0.056337008709919
0.005698814966047;-0.029419097481926
0.005334871954196;0.015964163067694
0.008166526119569;-0.02261522747927
0.00840619590786;0.019591285255869
0.004278549553948;0.022969093058605
0.003497403577294;0.044619232594236
0.001837468376903;-0.003763842980192
0.005743198260175;-0.000772070354911
0.00632018108384;0.038048592177962
0.007145710354623;0.011026129756074
0.007926856331277;0.020588542797628
0.00516621543651;0.020049702029097
0.001917358306333;0.047932701200731
-0.00237006790644;0.033938926017968
0.012374062402912;0.030335931028381
-0.019519772757534;0.074167008468647
0.040300031068306;-0.066985145688067
0.017309484709955;-0.0016969463009
0.00646220762505;0.004865651715847
0.003621676800852;0.002396635060036
0.01148639652035;-0.095784978406157
0.016741378545116;0.015618339887891
0.034592339443433;-0.000522755969472
0.017389374639386;0.0104229497913
-0.0028760374595;-0.013245832026443
-0.013110825085438;-0.026885741629872
-0.001189472282633;-0.063856652270772
0.013323864897253;0.021223892360526
0.008645865696152;-0.071657779815186
0.018143890639563;-0.028043847162241
0.01156628644978;0.006546513217685
0.002760640894767;-0.025349643319582
-0.033136567396032;0.044024095028994
0.055416981048333;0.014355683161628
-0.016022369180241;0.033231194859297
-0.002955927388931;0.056111821523071
0.023363366029027;0.009176377864099
