# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; FM2
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
FM2;MSONDQ
0.000558146779623;0.017693278966713
0.000514879587404;0.003828182176433
0.000134128295878;-0.005669891668878
0.000203355803429;-0.009264844258932
0.000311523783976;0.009618709838267
0.000696601794723;-0.010093211410556
0.000579780375732;-0.004511786136512
0.000696601794723;0.002050811880233
0.000757175863829;-0.001359165520625
0.000705255233167;0.020990662774145
0.000748522425386;-0.002074939078824
0.00089563087893;0.010294271398815
0.000934571351927;-0.001704988700429
0.000700928513945;-0.003997072566569
0.000917264475039;0.015763103079434
0.001042739332474;0.006988845191852
0.001038412613252;0.009345268254236
0.000990818701811;0.005179305297529
0.00096485838648;0.005887036456197
0.000848036967489;0.017033802205226
0.000882650721264;0.022116598708389
0.001185521066796;-0.009892151422298
0.00110331340158;0.013229747227384
0.001090333243914;0.008404307509188
0.000930244632705;0.008943148277721
0.001107640120802;0.009409607450479
0.001267728732012;0.029403012682863
0.001137927155355;0.020443779606085
0.000726888829276;0.017862169356849
0.000359117695416;0.001865836691034
0.000618720848729;-0.019012232489686
0.001003798859477;-0.053007455304365
0.001510025008437;0.020282931615478
0.001752321284863;0.015570085490706
0.00140185702789;0.000812282352564
0.001159560751465;0.135956764060125
0.001133600436133;-0.106875447358475
0.001358589835671;0.035965610699609
0.001652806742759;0.017315286188788
0.001246095135902;0.044329706211144
0.000653334602504;0.007801127544413
0.000475939114407;-0.003498443795691
0.000649007883282;-0.054961758390233
0.000281236749422;-0.010599882580966
0.000514879587404;-0.064580468228502
0.001735014407975;0.014942778327343
0.002111438980279;-0.002670076644068
0.002591704813908;0.034759250770061
0.003210425662637;0.004165962956706
0.00257439793702;-0.010889408964058
0.002409982606589;0.010101253810088
0.002751793425117;0.018594027714107
0.002362388695148;0.017065971803349
0.003245039416412;0.042841862298034
0.003314266923962;0.015377067901981
0.002448923079586;0.041345975985394
0.001735014407975;0.028542475933119
0.001505698289215;0.02332295863794
0.00140185702789;0.044900716577798
0.002033558034285;0.01314932323208
0.001354263116449;-0.041788307959563
0.001215808101349;0.038909128927708
0.001756648004084;-0.140733949381137
0.002223933680048;-0.056337008709919
0.004352679537214;-0.029419097481926
0.004486807833092;0.015964163067694
0.003080624085981;-0.02261522747927
0.004153650453008;0.019591285255869
0.004049809191682;0.022969093058605
0.003690691496266;0.044619232594236
0.005166102750928;-0.003763842980192
0.005023321016606;-0.000772070354911
0.004114709980011;0.038048592177962
0.003612810550272;0.011026129756074
0.003322920362406;0.020588542797628
0.003058990489872;0.020049702029097
0.003115237839756;0.047932701200731
0.003167158470418;0.033938926017968
0.003236385977968;0.030335931028381
0.002587378094687;0.074167008468647
0.004244511556667;-0.066985145688067
0.004335372660327;-0.0016969463009
0.002790733898114;0.004865651715847
0.003331573800849;0.002396635060036
0.002885921720997;-0.095784978406157
0.005940585491644;0.015618339887891
0.004300758906552;-0.000522755969472
0.003539256323499;0.0104229497913
0.005689635776777;-0.013245832026443
0.003829146511366;-0.026885741629872
0.00567665561911;-0.063856652270772
0.005105528681821;0.021223892360526
0.004928133193725;-0.071657779815186
0.00429643218733;-0.028043847162241
0.005438686061907;0.006546513217685
0.013391195991728;-0.025349643319582
0.006602573532592;0.044024095028994
0.004162303891452;0.014355683161628
0.004897846159171;0.033231194859297
0.005910298457093;0.056111821523071
0.006027119876082;0.009176377864099
0.00376857244226;-0.014572827948947
