# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; GDP273A
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
GDP273A;MSONDQ
0.000486731694021;0.017693278966713
0.001022136557444;0.003828182176433
0.001031871191325;-0.005669891668878
0.000389385355217;-0.009264844258932
0.001109748262368;0.009618709838267
0.000798239978194;-0.010093211410556
0.000944259486401;-0.004511786136512
0.000340712185815;0.002050811880233
-3.89385355216579e-05;-0.001359165520625
0.000739832174912;0.020990662774145
0.00022389657925;-0.002074939078824
0.000895586316999;0.010294271398815
0.000759301442673;-0.001704988700429
0.000515935595662;-0.003997072566569
0.000613281934466;0.015763103079434
0.000593812666706;0.006988845191852
0.000292039016413;0.009345268254236
0.000992932655803;0.005179305297529
0.000759301442673;0.005887036456197
0.000983198021922;0.017033802205226
0.00045752779238;0.022116598708389
0.00069115900551;-0.009892151422298
0.000720362907151;0.013229747227384
0.000720362907151;0.008404307509188
0.001061075092966;0.008943148277721
0.000807974612075;0.009409607450479
0.000661955103869;0.029403012682863
0.001684091661313;0.020443779606085
0.001752234098476;0.017862169356849
0.001693826295193;0.001865836691034
0.001723030196834;-0.019012232489686
0.000642485836108;-0.053007455304365
0.001119482896248;0.020282931615478
0.00208321165041;0.015570085490706
0.001976130677725;0.000812282352564
0.002443393103985;0.135956764060125
0.002365516032942;-0.106875447358475
0.002433658470105;0.035965610699609
0.002657555049355;0.017315286188788
0.002346046765181;0.044329706211144
0.003115082841734;0.007801127544413
0.003066409672332;-0.003498443795691
0.002900920896365;-0.054961758390233
0.002939859431887;-0.010599882580966
0.0027841052898;-0.064580468228502
0.002511535541148;0.014942778327343
0.003387652590386;-0.002670076644068
0.002472597005627;0.034759250770061
0.002998267235169;0.004165962956706
0.002638085781594;-0.010889408964058
0.001674357027432;0.010101253810088
0.002910655530246;0.018594027714107
0.001654887759671;0.017065971803349
0.002462862371746;0.042841862298034
0.00232657749742;0.015377067901981
0.003446060393669;0.041345975985394
0.005500068142437;0.028542475933119
0.005276171563187;0.02332295863794
0.006074411541382;0.044900716577798
0.008916924634465;0.01314932323208
0.008634620251932;-0.041788307959563
0.008508070011487;0.038909128927708
0.008245234896716;-0.140733949381137
0.006298308120632;-0.056337008709919
0.004341646710667;-0.029419097481926
0.006512470066001;0.015964163067694
0.005986799836458;-0.02261522747927
0.003971730623211;0.019591285255869
0.003134552109495;0.022969093058605
0.005587679847361;0.044619232594236
0.005831045694371;-0.003763842980192
0.006687693475848;-0.000772070354911
0.006600081770925;0.038048592177962
0.005899188131534;0.011026129756074
0.005694760820046;0.020588542797628
0.006785039814653;0.020049702029097
0.008439927574324;0.047932701200731
0.007300975410315;0.033938926017968
0.007992134415825;0.030335931028381
0.008060276852988;0.074167008468647
0.011924926503514;-0.066985145688067
0.011107217257559;-0.0016969463009
0.01112668652532;0.004865651715847
0.01414442302825;0.002396635060036
0.011788641629188;-0.095784978406157
0.011632887487102;0.015618339887891
0.012684227946187;-0.000522755969472
0.013570079629305;0.0104229497913
0.008916924634465;-0.013245832026443
0.009072678776551;-0.026885741629872
0.008478866109846;-0.063856652270772
0.007154955902109;0.021223892360526
0.005470864240796;-0.071657779815186
0.00904347487491;-0.028043847162241
0.006600081770925;0.006546513217685
0.005120417421101;-0.025349643319582
0.005500068142437;0.044024095028994
0.007953195880303;0.014355683161628
0.004117750131418;0.033231194859297
0.006570877869283;0.056111821523071
0.006045207639741;0.009176377864099
0.004857582306329;-0.014572827948947
