# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; CES277R
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
CES277R;MSONDQ
0.015144850034237;0.017693278966713
0.019146872844621;0.003828182176433
0.01474303684944;-0.005669891668878
0.030151176572487;-0.009264844258932
-0.000685959089213;0.009618709838267
0.02031551555537;-0.010093211410556
0.006688941024957;-0.004511786136512
0.015697992268587;0.002050811880233
0.028966521670379;-0.001359165520625
-9.63851128525095e-05;0.020990662774145
0.022638337467714;-0.002074939078824
0.002645908132581;0.010294271398815
0.013837421999928;-0.001704988700429
0.013717984919464;-0.003997072566569
0.010938486447955;0.015763103079434
0.009017017915173;0.006988845191852
-0.000528135344694;0.009345268254236
0.019450891504315;0.005179305297529
0.011426455043958;0.005887036456197
-0.000518762689101;0.017033802205226
0.009862037894875;0.022116598708389
0.00787183941119;-0.009892151422298
0.013411647950197;0.013229747227384
0.019166352215748;0.008404307509188
0.016028098552997;0.008943148277721
0.004679048051566;0.009409607450479
0.019334315672092;0.029403012682863
0.008230905710136;0.020443779606085
0.030391529994902;0.017862169356849
0.011599088544206;0.001865836691034
0.003623517421433;-0.019012232489686
0.020529571805297;-0.053007455304365
0.021701979519347;0.020282931615478
0.029507651975826;0.015570085490706
0.020836349296238;0.000812282352564
0.025310585625068;0.135956764060125
0.007658580642596;-0.106875447358475
0.013949340643925;0.035965610699609
0.020434601675464;0.017315286188788
0.017438604801293;0.044329706211144
0.049672713525651;0.007801127544413
0.020302017080072;-0.003498443795691
0.032807223559842;-0.054961758390233
0.02690540648277;-0.010599882580966
0.024320934839224;-0.064580468228502
0.044015522245549;0.014942778327343
0.008143954103155;-0.002670076644068
0.031795082171553;0.034759250770061
0.031161849412374;0.004165962956706
0.026067601545235;-0.010889408964058
0.020400859772489;0.010101253810088
0.027292681166887;0.018594027714107
0.022966463975762;0.017065971803349
0.00037704583952;0.042841862298034
0.040191663453598;0.015377067901981
0.019315165406622;0.041345975985394
-0.036944447527192;0.028542475933119
-0.016748581171183;0.02332295863794
-0.005985023392819;0.044900716577798
-0.046062433180463;0.01314932323208
-0.023130896830894;-0.041788307959563
0.008201330765064;0.038909128927708
-0.004950766788268;-0.140733949381137
0.001617491011286;-0.056337008709919
0.012909961475116;-0.029419097481926
-0.022566056346483;0.015964163067694
-0.026395290102748;-0.02261522747927
0.003698853911823;0.019591285255869
0.031956628067063;0.022969093058605
0.006142131503883;0.044619232594236
0.002138017072626;-0.003763842980192
-0.007569501418782;-0.000772070354911
-0.027215190062728;0.038048592177962
-0.011556523780671;0.011026129756074
0.001464342024441;0.020588542797628
0.004125333310458;0.020049702029097
0.007528101809348;0.047932701200731
0.006838168169074;0.033938926017968
-0.007845037010068;0.030335931028381
-0.000395022380412;0.074167008468647
-0.017163891974229;-0.066985145688067
-0.013979229267863;-0.0016969463009
-0.020406674829933;0.004865651715847
-0.040742028001684;0.002396635060036
0.007339336559817;-0.095784978406157
-0.005357273585744;0.015618339887891
-0.004215525408571;-0.000522755969472
-0.010088743715992;0.0104229497913
0.005174561223949;-0.013245832026443
0.025476073075361;-0.026885741629872
0.019691841002262;-0.063856652270772
0.032664925633039;0.021223892360526
-0.008872967757734;-0.071657779815186
-0.007399022532291;-0.028043847162241
0.003928916353795;0.006546513217685
0.006214050951672;-0.025349643319582
-0.026426078625039;0.044024095028994
-0.027090447010172;0.014355683161628
-0.001960442701892;0.033231194859297
-0.009688000124665;0.056111821523071
