# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; FYGT1
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
FYGT1;MSONDQ
0.026968247063941;0.017693278966713
0.044802087864288;0.003828182176433
0.020443671161375;-0.005669891668878
-0.022618529795563;-0.009264844258932
-0.045672031317964;0.009618709838267
-0.051979121357112;-0.010093211410556
-0.005219660722053;-0.004511786136512
-0.00782949108308;0.002050811880233
0.004132231404959;-0.001359165520625
0.005002174858634;0.020990662774145
0.005654632448891;-0.002074939078824
0.006959547629404;0.010294271398815
-0.012396694214876;-0.001704988700429
0.010874293170944;-0.003997072566569
-0.012179208351457;0.015763103079434
0.00195737277077;0.006988845191852
0.00761200521966;0.009345268254236
0.025010874293171;0.005179305297529
0.013266637668551;0.005887036456197
0.006307090039148;0.017033802205226
0.002174858634189;0.022116598708389
-0.006089604175728;-0.009892151422298
0.010656807307525;0.013229747227384
0.005219660722053;0.008404307509188
0.000652457590257;0.008943148277721
0.004132231404959;0.009409607450479
0.024793388429752;0.029403012682863
0.030448020878643;0.020443779606085
0.000217485863419;0.017862169356849
0.037625054371466;0.001865836691034
-0.004567203131796;-0.019012232489686
-0.054588951718139;-0.053007455304365
-0.02327098738582;0.020282931615478
0.057416267942584;0.015570085490706
0.028490648107873;0.000812282352564
-0.00587211831231;0.135956764060125
0.030665506742062;-0.106875447358475
-0.028273162244454;0.035965610699609
0.02131361461505;0.017315286188788
0.034362766420182;0.044329706211144
0.013701609395389;0.007801127544413
0.070465419747716;-0.003498443795691
0.016093953892997;-0.054961758390233
-0.022618529795564;-0.010599882580966
-0.006524575902566;-0.064580468228502
-0.033710308829926;0.014942778327343
-0.084167029143106;-0.002670076644068
-0.104175728577643;0.034759250770061
0.061548499347542;0.004165962956706
0.049369290996086;-0.010889408964058
-0.066768160069595;0.010101253810088
-0.020878642888212;0.018594027714107
0.028490648107873;0.017065971803349
0.020226185297956;0.042841862298034
0.018486298390605;0.015377067901981
0.056981296215746;0.041345975985394
0.046107003044802;0.028542475933119
0.097216180948238;0.02332295863794
-0.071335363201392;0.044900716577798
-0.00391474554154;0.01314932323208
0.08721183123097;-0.041788307959563
0.020878642888212;0.038909128927708
-0.08721183123097;-0.140733949381137
-0.089169204001739;-0.056337008709919
0.014354066985646;-0.029419097481926
0.064810787298825;0.015964163067694
-0.054806437581557;-0.02261522747927
-0.045889517181383;0.019591285255869
0.019791213571118;0.022969093058605
-0.01739886907351;0.044619232594236
-0.051326663766855;-0.003763842980192
0.012614180078295;-0.000772070354911
0.017833840800348;0.038048592177962
0.038277511961723;0.011026129756074
0.044367116137451;0.020588542797628
0.022836015658982;0.020049702029097
0.0311004784689;0.047932701200731
0.043062200956938;0.033938926017968
0.089386689865159;0.030335931028381
0.031535450195737;0.074167008468647
-0.023705959112658;-0.066985145688067
0.014136581122225;-0.0016969463009
0.13810352327099;0.004865651715847
0.108525445846018;0.002396635060036
-0.238147020443671;-0.095784978406157
-0.009569377990426;0.015618339887891
0.241626794258371;-0.000522755969472
0.018268812527186;0.0104229497913
0.065680730752503;-0.013245832026443
0.077859939103956;-0.026885741629872
-0.180948238364504;-0.063856652270772
0.051326663766851;0.021223892360526
-0.035015224010435;-0.071657779815186
-0.127664201826884;-0.028043847162241
-0.176816006959548;0.006546513217685
-0.017616354936929;-0.025349643319582
0.020878642888212;0.044024095028994
0.072857764245326;0.014355683161628
-0.022401043932147;0.033231194859297
0.014571552849067;0.056111821523071
