# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; CPILFESL
# number_predictions; 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; FCBF_(n_components=1)
CPILFESL;MSONDQ
0.000891729741684;0.017693278966713
0.000713383793347;0.003828182176433
0.00107007569002;-0.005669891668878
0.000713383793347;-0.009264844258932
0.000356691896673;0.009618709838267
-0.000178345948337;-0.010093211410556
0.000891729741684;-0.004511786136512
0.000356691896673;0.002050811880233
0.00053503784501;-0.001359165520625
0.000713383793347;0.020990662774145
0.00053503784501;-0.002074939078824
0.000356691896673;0.010294271398815
0.000713383793347;-0.001704988700429
0.00053503784501;-0.003997072566569
0.000356691896673;0.015763103079434
0.000356691896674;0.006988845191852
0.000713383793347;0.009345268254236
0.000713383793347;0.005179305297529
0.000891729741683;0.005887036456197
0.000891729741684;0.017033802205226
0.000178345948337;0.022116598708389
0.000356691896674;-0.009892151422298
0.000891729741684;0.013229747227384
0.000713383793347;0.008404307509188
0.00053503784501;0.008943148277721
0.000178345948337;0.009409607450479
0.000891729741684;0.029403012682863
0.000891729741684;0.020443779606085
0.001783459483367;0.017862169356849
0.001605113535031;0.001865836691034
0.001783459483367;-0.019012232489686
0.00107007569002;-0.053007455304365
0.001426767586694;0.020282931615478
0.001961805431704;0.015570085490706
0.001961805431704;0.000812282352564
0.002318497328378;0.135956764060125
0.001961805431704;-0.106875447358475
0.002675189225051;0.035965610699609
0.002853535173388;0.017315286188788
0.002675189225051;0.044329706211144
0.003210227070061;0.007801127544413
0.002853535173388;-0.003498443795691
0.002853535173388;-0.054961758390233
0.003210227070061;-0.010599882580966
0.003923610863409;-0.064580468228502
0.002853535173388;0.014942778327343
0.003566918966735;-0.002670076644068
0.002140151380041;0.034759250770061
0.002318497328378;0.004165962956706
0.001961805431704;-0.010889408964058
0.001248421638357;0.010101253810088
0.001961805431704;0.018594027714107
0.001783459483367;0.017065971803349
0.001783459483367;0.042841862298034
0.001248421638358;0.015377067901981
0.001783459483367;0.041345975985394
0.002496843276715;0.028542475933119
0.002496843276714;0.02332295863794
0.004101956811745;0.044900716577798
0.003923610863408;0.01314932323208
0.00659880008846;-0.041788307959563
0.008917297416837;0.038909128927708
0.007847221726817;-0.140733949381137
0.005885416295113;-0.056337008709919
0.004458648708418;-0.029419097481926
0.003745264915072;0.015964163067694
0.004993686553429;-0.02261522747927
0.005528724398439;0.019591285255869
0.004101956811745;0.022969093058605
0.004993686553429;0.044619232594236
0.004280302760082;-0.003763842980192
0.005172032501766;-0.000772070354911
0.005172032501765;0.038048592177962
0.004636994656756;0.011026129756074
0.004458648708418;0.020588542797628
0.005885416295113;0.020049702029097
0.006955491985133;0.047932701200731
0.007490529830143;0.033938926017968
0.007847221726817;0.030335931028381
0.008382259571827;0.074167008468647
0.0087389514685;-0.066985145688067
0.009809027158521;-0.0016969463009
0.011770832590225;0.004865651715847
0.01480271371195;0.002396635060036
0.013910983970266;-0.095784978406157
0.006420454140123;0.015618339887891
0.013554292073592;-0.000522755969472
0.010522410951868;0.0104229497913
0.010165719055194;-0.013245832026443
0.015872789401971;-0.026885741629872
0.009452335261847;-0.063856652270772
0.00606376224345;0.021223892360526
0.009273989313511;-0.071657779815186
0.008560605520164;-0.028043847162241
0.001783459483367;0.006546513217685
0.003210227070061;-0.025349643319582
0.005172032501766;0.044024095028994
0.006598800088458;0.014355683161628
0.006955491985133;0.033231194859297
0.007490529830143;0.056111821523071
0.006777146036798;0.009176377864099
0.006955491985133;-0.014572827948947
